site,depth
M34/0232,Shallow
M34/0271,Shallow
M34/0278,Shallow
M34/0295,Shallow
M34/0306,Shallow
M34/0311,Shallow
M34/0316,Deep
M34/0442,Shallow
M34/0497,Shallow
M34/0578,Deep
M34/0620,Shallow
M34/0662,Shallow
M34/0670,Shallow
M34/0678,Shallow
M34/0688,Shallow
M34/0722,Deep
M34/0734,Deep
M34/0754,Deep
M34/0765,Deep
M34/0772,Deep
M34/5537,Deep
M34/5573,Deep
M34/5574,Deep
M34/5606,Deep
M34/5608,Deep
M34/5611,Shallow
M34/5629,Deep
M34/5684,Deep
M34/5689,Deep
M34/5704,Deep
M34/5802,Shallow
M34/5813,Shallow
M34/5875,Shallow
M35/0008,Shallow
M35/0017,Shallow
M35/0026,Shallow
M35/0029,Shallow
M35/0058,Shallow
M35/0143,Shallow
M35/0174,Deep
M35/0183,Shallow
M35/0222,Shallow
M35/0312,Shallow
M35/0366,Shallow
M35/0443,Shallow
M35/0472,Shallow
M35/0538,Shallow
M35/0596,Shallow
M35/0601,Shallow
M35/0637,Shallow
M35/0658,Shallow
M35/0724,Shallow
M35/0846,Deep
M35/0931,Shallow
M35/0933,Deep
M35/0948,Shallow
M35/1000,Deep
M35/10553,Deep
M35/1079,Shallow
M35/1080,Shallow
M35/10909,Deep
M35/1110,Shallow
M35/1111,Shallow
M35/11283,Deep
M35/11365,Deep
M35/1156,Shallow
M35/11672,Deep
M35/11913,Shallow
M35/11918,Deep
M35/11937,Deep
M35/11938,Deep
M35/11939,Deep
M35/11940,Deep
M35/1205,Shallow
M35/1380,Shallow
M35/1384,Deep
M35/1451,Shallow
M35/1691,Shallow
M35/1878,Deep
M35/2081,Deep
M35/2564,Deep
M35/2565,Deep
M35/2679,Shallow
M35/3450,Deep
M35/3614,Shallow
M35/3779,Deep
M35/3789,Deep
M35/4160,Shallow
M35/4163,Deep
M35/4757,Shallow
M35/4873,Shallow
M35/5038,Deep
M35/5144,Shallow
M35/5157,Deep
M35/5436,Shallow
M35/5445,Deep
M35/5560,Shallow
M35/5696,Deep
M35/5760,Deep
M35/6107,Deep
M35/6868,Shallow
M35/7753,Deep
M35/7896,Shallow
M35/8370,Shallow
M35/8371,Shallow
M35/8372,Deep
M35/8373,Shallow
M35/8379,Shallow
M35/8380,Shallow
M35/8967,Shallow
M35/8968,Shallow
M35/8969,Shallow
M35/9001,Shallow
M35/9154,Deep
M35/9850,Shallow
M36/0142,Shallow
M36/0183,Shallow
M36/0202,Shallow
M36/0217,Deep
M36/0250,Shallow
M36/0255,Shallow
M36/0355,Deep
M36/0419,Shallow
M36/0424,Shallow
M36/0465,Deep
M36/0592,Deep
M36/0599,Shallow
M36/0693,Shallow
M36/0768,Shallow
M36/0932,Deep
M36/10577,Deep
M36/10578,Deep
M36/1160,Shallow
M36/1273,Deep
M36/1328,Shallow
M36/1902,Deep
M36/1918,Shallow
M36/20108,Shallow
M36/2452,Shallow
M36/2476,Deep
M36/2775,Deep
M36/3194,Shallow
M36/4018,Shallow
M36/4633,Shallow
M36/4674,Shallow
M36/4740,Shallow
M36/4741,Shallow
M36/4783,Shallow
M36/4804,Shallow
M36/4886,Shallow
M36/5325,Deep
M36/5372,Deep
M36/5385,Shallow
M36/5893,Deep
M36/5894,Deep
M36/5895,Deep
M36/6895,Deep
M36/7425,Shallow
M36/7535,Shallow
M36/7694,Shallow
M36/7880,Shallow
M36/8223,Shallow
M36/8515,Deep
