mtype,site,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07
flow,63001,5.88,11.76,29.41,23.53,27.78,52.94
flow,63101,3.7,3.7,22.22,21.43,21.43,55.56
flow,64304,8.33,33.33,50.0,33.33,54.55,72.73
flow,64602,15.09,13.21,49.06,37.74,25.0,7.69
flow,65102,78.57,85.71,57.14,50.0,42.86,21.43
flow,65104,52.38,30.16,50.79,53.97,41.27,11.11
flow,65106,53.85,23.08,38.46,61.54,38.46,0.0
flow,65701,13.33,7.14,7.14,21.43,14.29,78.57
flow,65901,6.06,9.09,39.39,27.27,51.52,28.12
flow,66204,8.33,14.89,37.5,20.83,53.06,35.42
flow,66213,12.0,12.0,40.0,32.0,50.0,38.46
flow,66403,100.0,100.0,100.0,66.67,77.78,100.0
flow,66407,36.0,18.0,42.0,26.92,15.38,14.0
flow,66415,33.33,33.33,33.33,13.33,0.0,0.0
flow,66417,40.0,40.0,61.76,42.42,36.36,57.58
flow,66425,78.57,62.96,34.62,53.57,35.71,0.0
flow,66435,54.35,56.82,56.82,68.18,61.36,80.43
flow,66442,50.0,40.0,40.0,20.0,25.0,25.0
flow,66602,57.14,42.86,45.71,54.29,54.29,22.22
flow,66612,41.38,43.33,50.0,43.33,48.28,82.76
flow,67001,72.73,63.64,63.64,31.82,34.78,65.22
flow,67402,38.89,23.53,35.29,11.76,6.25,29.41
flow,67408,45.16,29.03,19.35,9.68,16.13,38.71
flow,67602,60.61,43.75,40.62,12.5,25.0,56.25
flow,67702,50.0,30.88,32.35,8.82,25.71,70.59
flow,67805,50.0,29.17,48.0,24.0,40.0,48.0
flow,68001,26.79,33.93,55.36,17.86,46.43,25.0
flow,68002,33.33,32.43,33.33,22.22,30.56,41.67
flow,68320,50.0,37.88,15.15,9.09,3.03,51.52
flow,68322,38.46,23.08,38.46,15.38,21.43,23.08
flow,68526,56.1,36.59,63.41,34.15,12.5,25.0
flow,68806,52.83,60.38,62.96,42.59,42.59,40.74
flow,68810,44.74,21.05,63.16,42.11,37.84,39.47
flow,68819,12.5,37.5,62.5,31.25,56.25,46.67
flow,68822,12.5,68.75,50.0,18.75,31.25,46.67
flow,69001,23.53,35.29,20.59,17.65,12.5,9.38
flow,69101,21.43,42.86,71.43,28.57,21.43,28.57
flow,69201,17.65,17.65,11.76,0.0,0.0,6.25
flow,69202,17.65,11.76,23.53,5.88,5.88,5.88
flow,69302,71.7,50.94,58.49,54.72,18.87,35.85
flow,69505,23.68,23.68,63.16,26.32,23.68,24.32
flow,69602,31.03,24.14,44.83,32.14,18.52,17.24
flow,69614,78.95,68.42,47.37,26.32,21.43,17.54
flow,69618,8.93,16.07,46.43,7.14,10.53,19.3
flow,69635,7.89,20.51,56.41,5.13,5.26,28.95
flow,70105,21.05,31.58,94.74,21.05,2.63,31.58
flow,70303,15.79,21.05,90.0,35.0,21.05,31.58
flow,70902,34.21,26.32,63.16,18.42,5.26,27.03
flow,70908,38.1,42.86,66.67,42.86,14.29,19.05
flow,71106,44.9,23.53,72.55,21.57,18.0,70.83
flow,71116,54.39,47.37,43.86,35.09,0.0,76.79
flow,71117,31.82,31.82,50.0,23.81,4.76,47.62
flow,71130,100.0,94.12,100.0,58.82,50.0,22.22
flow,71136,60.87,47.83,43.48,30.43,8.7,17.39
flow,71156,12.5,0.0,6.25,6.25,0.0,0.0
flow,71178,31.58,10.53,36.84,16.67,5.56,29.41
flow,71195,21.05,15.79,10.53,10.0,20.0,50.0
precip,217810,96.77,33.33,64.52,48.39,48.39,46.67
precip,218810,70.73,26.19,65.0,40.0,29.27,19.51
precip,219510,95.45,21.54,64.06,39.39,26.56,32.31
precip,219910,72.41,55.17,67.24,43.86,26.32,15.79
precip,222610,51.35,37.84,61.11,64.86,17.14,14.29
precip,226510,35.48,66.67,53.33,70.0,30.0,6.67
precip,227810,21.88,84.38,12.5,84.38,61.29,12.9
precip,231910,54.29,74.29,2.86,65.15,85.71,44.12
precip,232710,74.29,97.22,2.86,30.56,89.19,16.22
precip,233510,64.0,88.0,3.85,46.15,84.0,16.0
precip,233610,56.86,76.47,2.0,29.41,86.0,36.73
precip,234511,54.76,78.57,2.38,52.38,71.43,21.95
precip,237101,35.71,100.0,7.14,85.71,64.29,38.46
precip,239101,25.0,96.43,12.07,86.21,79.31,42.86
precip,304610,88.57,35.14,64.86,35.14,25.0,44.12
precip,306610,80.0,66.67,63.33,36.67,43.33,22.58
precip,307001,96.77,48.39,58.06,32.26,32.26,51.61
precip,309810,54.55,87.88,45.45,18.18,93.75,3.12
precip,310510,93.55,25.0,65.62,37.5,31.25,33.33
precip,311810,61.43,51.43,67.14,47.22,31.43,14.29
precip,311910,36.67,80.0,43.1,34.48,77.42,6.67
precip,313710,40.74,83.64,14.15,19.23,89.81,10.71
precip,314411,57.14,95.24,47.62,38.1,42.86,19.05
precip,314412,73.08,50.0,53.85,23.08,38.46,40.38
precip,314701,58.73,75.81,15.87,22.58,90.48,6.35
precip,315010,76.19,95.24,57.14,23.81,52.38,19.05
precip,315510,48.48,93.94,18.18,24.24,87.1,30.3
precip,315910,40.62,65.62,3.12,30.3,78.79,9.09
precip,316310,60.61,96.97,36.36,50.0,87.88,15.15
precip,317210,89.66,100.0,18.97,17.24,73.33,10.0
precip,319211,78.57,89.29,10.71,10.71,85.71,7.14
precip,320010,41.38,77.97,48.33,41.67,30.0,3.45
precip,321212,46.88,93.75,34.38,62.5,75.0,9.38
precip,321310,37.78,66.67,22.73,60.0,79.55,30.23
precip,321610,51.52,78.79,9.09,72.73,40.62,28.12
precip,321710,66.67,53.33,63.33,43.33,36.67,16.67
precip,322110,40.0,80.0,34.09,47.73,84.44,13.64
precip,322211,39.39,78.79,6.06,36.36,78.12,9.38
precip,322410,34.38,84.38,12.5,34.38,81.25,32.26
precip,322411,72.73,81.82,9.09,45.45,72.73,28.57
precip,323610,45.45,81.82,13.64,27.27,59.09,63.64
precip,324611,26.76,71.83,8.33,22.22,63.38,48.57
precip,326112,38.33,70.0,6.67,20.0,64.52,35.48
precip,326512,41.67,29.17,8.33,28.0,88.0,41.67
precip,326611,50.0,41.67,12.9,22.58,96.67,50.0
precip,328711,43.33,26.67,8.33,30.0,93.55,29.03
precip,400710,69.7,57.58,27.27,18.18,90.91,6.06
precip,400910,68.97,51.72,10.34,34.48,86.21,10.34
precip,401610,65.0,70.0,45.0,20.0,90.48,9.52
precip,403601,57.14,71.43,30.0,11.43,94.12,6.06
precip,403711,68.42,85.96,40.35,12.5,70.91,34.55
precip,404810,62.5,93.75,34.38,18.75,62.5,18.75
precip,405610,84.0,62.0,12.0,20.0,84.62,12.0
precip,405711,24.0,100.0,20.0,20.0,80.77,61.54
precip,405910,63.64,84.85,63.64,21.21,36.36,21.21
precip,407810,66.67,39.39,15.15,9.09,51.52,15.15
precip,408401,63.33,41.94,51.61,12.9,41.94,38.71
precip,409310,54.17,45.83,41.67,40.0,52.0,66.67
precip,410010,55.88,82.35,20.59,14.71,94.12,8.57
precip,414110,24.24,54.55,28.79,21.21,66.67,4.55
precip,417110,68.42,68.42,42.11,10.53,55.0,20.0
precip,418010,71.88,60.61,57.58,6.06,60.61,15.15
precip,419211,53.12,87.88,24.24,30.3,96.97,6.06
