mtype,site,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
flow,63001,55.56,29.41,38.89,22.22,47.06,94.12
flow,63101,55.56,57.69,50.0,40.74,25.93,25.93
flow,64304,75.0,25.0,66.67,36.36,63.64,83.33
flow,64602,7.69,1.92,80.77,62.26,37.04,27.78
flow,65102,35.71,0.0,85.71,50.0,86.67,66.67
flow,65104,10.94,1.56,88.71,69.84,38.1,35.94
flow,65106,0.0,0.0,58.33,16.67,100.0,69.23
flow,65701,78.57,7.69,57.14,7.14,71.43,64.29
flow,65901,36.36,6.06,51.52,40.62,78.12,71.88
flow,66204,35.42,6.25,43.75,31.25,60.42,62.5
flow,66213,33.33,4.0,60.0,52.0,80.0,80.0
flow,66403,100.0,62.5,100.0,75.0,37.5,25.0
flow,66415,0.0,0.0,31.25,0.0,18.75,13.33
flow,66417,57.58,18.18,24.24,0.0,48.57,31.43
flow,66425,67.86,42.86,53.57,11.11,57.14,96.43
flow,66435,75.0,43.75,56.52,30.43,21.74,19.57
flow,66442,25.0,0.0,75.0,100.0,0.0,20.0
flow,66612,80.0,26.67,36.67,23.33,30.0,20.0
flow,67001,60.87,13.04,4.35,0.0,4.55,36.36
flow,67402,33.33,0.0,0.0,5.56,5.26,5.26
flow,67408,67.74,12.9,0.0,0.0,3.23,6.25
flow,67602,56.25,9.38,3.23,3.12,3.12,9.09
flow,67702,68.57,14.29,5.71,3.03,14.29,34.29
flow,67805,48.0,16.67,20.83,4.17,4.35,25.0
flow,68001,24.56,7.02,46.43,25.0,55.36,67.86
flow,68002,40.54,24.32,18.92,8.11,5.41,16.22
flow,68320,51.52,9.09,9.09,3.12,15.15,27.27
flow,68322,28.57,7.14,7.69,0.0,7.69,21.43
flow,68526,24.39,11.9,60.98,58.54,70.73,12.2
flow,68806,40.74,16.67,38.89,33.33,33.33,11.32
flow,68810,41.03,12.82,46.15,31.58,21.62,29.73
flow,68819,43.75,18.75,43.75,25.0,37.5,47.06
flow,68822,43.75,13.33,62.5,18.75,68.75,56.25
flow,69001,11.76,8.82,6.25,9.38,9.38,12.5
flow,69101,42.86,0.0,92.31,38.46,46.15,42.86
flow,69201,17.65,5.88,5.88,5.88,5.88,14.71
flow,69202,5.88,5.88,5.88,5.88,5.88,5.88
flow,69302,30.19,20.75,72.22,66.67,50.94,5.66
flow,69505,28.95,2.63,41.03,10.53,39.47,31.58
flow,69602,20.69,6.9,26.67,10.0,40.0,46.67
flow,69614,18.97,18.97,0.0,26.32,31.58,24.56
flow,69618,17.54,0.0,43.86,35.09,35.09,26.32
flow,69635,30.77,2.56,46.15,23.08,47.37,23.68
flow,70105,41.03,10.26,23.68,10.81,60.53,47.37
flow,70303,35.0,10.0,40.0,15.0,35.0,40.0
flow,70902,31.58,5.26,28.21,15.38,48.72,53.85
flow,70908,22.73,0.0,14.29,14.29,19.05,28.57
flow,71106,71.43,23.53,17.65,11.76,19.61,21.57
flow,71116,76.79,28.57,94.74,84.21,54.39,12.28
flow,71117,50.0,13.64,90.91,82.61,43.48,0.0
flow,71130,27.78,11.11,55.56,77.78,72.22,66.67
flow,71136,20.83,8.33,13.04,43.48,20.83,4.17
flow,71156,5.88,0.0,0.0,26.67,26.67,6.67
flow,71178,33.33,5.26,10.53,10.53,26.32,26.32
flow,71195,35.0,20.0,10.0,30.0,15.0,5.26
precip,217810,48.39,53.33,93.33,86.67,41.38,38.71
precip,218810,21.43,21.43,92.86,69.05,47.62,32.5
precip,219510,33.33,18.18,89.39,74.24,27.69,41.54
precip,219910,17.24,20.69,92.98,56.14,38.98,47.37
precip,222610,16.67,13.89,94.44,70.27,47.22,36.11
precip,226510,9.68,9.38,96.88,37.5,54.84,32.26
precip,227810,15.62,15.62,96.88,22.58,81.25,58.06
precip,231910,44.12,33.33,57.58,37.14,94.29,31.43
precip,232710,18.42,23.68,86.84,31.58,81.58,51.28
precip,233510,15.38,32.69,76.92,19.23,88.46,62.96
precip,233610,38.0,30.0,64.71,29.41,70.59,62.75
precip,234511,23.81,43.9,69.77,51.16,81.4,76.74
precip,237101,42.86,6.67,80.0,20.0,93.33,42.86
precip,239101,44.83,6.9,75.86,48.28,89.66,75.0
precip,304610,44.12,35.71,97.06,65.71,44.12,17.65
precip,306610,22.58,6.67,90.32,58.06,46.67,60.0
precip,307001,51.61,25.81,90.32,74.19,56.25,22.58
precip,309810,6.06,6.06,69.7,45.45,84.85,42.42
precip,310510,35.48,34.38,93.55,75.0,40.62,29.03
precip,311810,16.67,25.0,88.89,50.0,45.71,57.14
precip,311910,9.68,19.35,77.42,40.32,64.52,66.67
precip,313710,10.71,23.64,80.0,35.19,71.43,62.5
precip,314411,19.05,9.52,76.19,28.57,60.0,61.9
precip,314412,40.38,26.92,73.08,61.54,57.69,53.85
precip,314701,6.35,29.37,82.54,36.51,80.95,72.58
precip,315010,14.29,33.33,88.1,61.9,60.0,57.14
precip,315510,30.3,48.48,45.45,31.82,84.85,42.42
precip,315910,9.09,21.21,66.67,24.24,81.82,65.62
precip,316310,15.15,24.24,66.67,18.18,72.73,53.12
precip,317210,10.0,10.0,80.0,36.67,70.0,48.28
precip,319211,7.14,35.71,53.57,28.57,75.0,50.0
precip,320010,5.08,25.42,88.79,39.66,50.0,44.07
precip,321212,12.12,21.21,93.94,54.55,84.85,62.5
precip,321310,31.82,20.45,83.72,34.09,86.05,65.12
precip,321610,30.3,15.15,75.76,48.48,84.85,75.76
precip,321710,19.35,9.68,83.87,51.61,48.39,50.0
precip,322110,15.56,11.11,77.78,26.67,88.89,72.73
precip,322211,12.12,21.21,55.88,41.18,91.18,52.94
precip,322410,34.38,15.62,59.38,30.3,84.85,72.73
precip,322411,31.82,9.09,81.82,31.82,100.0,59.09
precip,323610,63.64,4.55,86.36,26.09,78.26,54.55
precip,324611,49.3,5.71,61.97,33.8,71.01,60.0
precip,326112,35.48,6.45,58.06,25.81,77.42,70.0
precip,326512,44.0,4.0,52.0,8.0,62.5,66.67
precip,326611,51.61,9.68,33.33,19.35,91.94,74.19
precip,328711,29.03,9.68,41.94,12.9,74.19,80.65
precip,400710,6.06,18.18,60.61,39.39,75.76,63.64
precip,400910,10.34,43.33,73.33,43.33,83.33,62.07
precip,401610,9.52,52.38,100.0,33.33,71.43,50.0
precip,403601,5.88,77.14,85.71,25.71,54.29,31.43
precip,403711,34.82,34.62,83.02,36.36,78.18,50.91
precip,404810,18.75,31.25,75.0,50.0,75.0,66.67
precip,405610,10.0,7.69,84.62,38.46,96.15,56.0
precip,405711,61.54,30.77,80.77,34.62,76.92,40.0
precip,405910,19.7,39.39,69.7,40.91,93.94,71.88
precip,407810,15.15,15.15,68.18,39.39,57.58,56.06
precip,408401,37.1,38.33,64.52,53.12,25.0,48.39
precip,409310,68.0,60.0,56.0,92.0,50.0,58.33
precip,410010,8.57,45.71,71.43,31.43,82.35,51.52
precip,414110,4.55,22.73,78.79,21.21,66.67,65.62
precip,417110,20.0,10.0,85.0,45.0,95.0,75.0
precip,418010,15.15,9.09,60.61,48.48,60.61,69.7
precip,419211,6.06,42.42,66.67,12.12,87.5,34.38
