site,time,perc
M35/0017,1949-11-30,2.7
M35/0017,1949-12-31,18.0
M35/0017,1950-04-30,11.36
M35/0017,1950-05-31,8.89
M35/0017,1950-06-30,8.0
M35/0017,1950-07-31,50.0
L36/0030,1950-08-31,39.29
M35/0017,1950-08-31,58.14
L36/0030,1950-09-30,44.64
M35/0017,1950-09-30,84.31
M35/0026,1950-09-30,33.33
L36/0030,1950-10-31,50.85
M35/0017,1950-10-31,61.54
M35/0026,1950-10-31,40.98
L36/0030,1950-11-30,58.33
M35/0017,1950-11-30,70.27
M35/0026,1950-11-30,29.79
L36/0030,1950-12-31,69.49
M35/0017,1950-12-31,56.0
L36/0030,1951-01-31,67.8
M35/0017,1951-01-31,52.0
L36/0030,1951-02-28,98.28
M35/0017,1951-02-28,97.37
L36/0030,1951-03-31,98.28
M35/0017,1951-03-31,100.0
L36/0030,1951-04-30,100.0
M35/0017,1951-04-30,100.0
L36/0030,1951-05-31,100.0
M35/0017,1951-05-31,97.78
L36/0030,1951-06-30,98.31
M35/0017,1951-06-30,84.0
L36/0030,1951-07-31,96.55
M35/0017,1951-07-31,56.52
L36/0030,1951-08-31,73.21
M35/0017,1951-08-31,41.86
L36/0030,1951-09-30,55.36
M35/0017,1951-09-30,49.02
L36/0030,1951-10-31,59.32
M35/0017,1951-10-31,67.31
L36/0030,1951-11-30,73.33
M35/0017,1951-11-30,67.57
M35/0026,1951-11-30,65.96
L36/0030,1951-12-31,77.97
M35/0017,1951-12-31,62.0
M35/0026,1951-12-31,70.49
L36/0030,1952-01-31,72.88
M35/0017,1952-01-31,78.0
M35/0026,1952-01-31,72.13
L36/0030,1952-02-29,67.24
M35/0017,1952-02-29,63.16
L36/0030,1952-03-31,72.41
M35/0017,1952-03-31,56.52
M35/0026,1952-03-31,83.61
L36/0030,1952-04-30,56.14
M35/0017,1952-04-30,25.0
M35/0026,1952-04-30,80.33
L36/0030,1952-05-31,36.84
M35/0017,1952-05-31,2.22
L36/0030,1952-06-30,27.12
M35/0017,1952-06-30,2.0
M35/0026,1952-06-30,68.25
M35/0029,1952-06-30,41.94
L36/0030,1952-07-31,22.41
M35/0017,1952-07-31,2.17
M35/0026,1952-07-31,61.4
M35/0029,1952-07-31,40.0
M35/0017,1952-08-31,34.88
M35/0017,1952-09-30,54.9
M35/0017,1952-10-31,50.0
L36/0030,1952-11-30,90.0
M35/0017,1952-11-30,100.0
M35/0026,1952-11-30,40.43
M35/0029,1952-11-30,47.83
L36/0030,1952-12-31,98.31
M35/0017,1952-12-31,100.0
M35/0026,1952-12-31,55.74
M35/0029,1952-12-31,70.37
L36/0030,1953-01-31,100.0
M35/0017,1953-01-31,100.0
L36/0030,1953-02-28,100.0
M35/0017,1953-02-28,100.0
M35/0026,1953-02-28,100.0
M35/0029,1953-02-28,100.0
L36/0030,1953-03-31,100.0
M35/0017,1953-03-31,95.65
M35/0026,1953-03-31,100.0
M35/0029,1953-03-31,100.0
L36/0030,1953-04-30,98.25
M35/0017,1953-04-30,97.73
M35/0026,1953-04-30,100.0
M35/0029,1953-04-30,100.0
L36/0030,1953-05-31,96.49
M35/0017,1953-05-31,88.89
M35/0026,1953-05-31,100.0
M35/0029,1953-05-31,96.43
L36/0030,1953-06-30,93.22
M35/0017,1953-06-30,68.0
M35/0026,1953-06-30,96.83
M35/0029,1953-06-30,96.77
L36/0030,1953-07-31,84.48
M35/0017,1953-07-31,76.09
M35/0026,1953-07-31,96.49
M35/0029,1953-07-31,96.0
L36/0030,1953-08-31,78.57
M35/0017,1953-08-31,79.07
M35/0026,1953-08-31,98.04
M35/0029,1953-08-31,94.44
L36/0030,1953-09-30,83.93
