mtype,site,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
flow,63001,35.29,35.29,68.75,47.06,47.06,29.41
flow,63101,48.15,29.63,69.23,57.69,40.74,48.15
flow,64304,54.55,36.36,63.64,63.64,50.0,0.0
flow,64602,46.15,73.08,38.46,34.62,37.74,57.69
flow,64610,47.06,29.41,62.75,60.78,64.71,54.9
flow,65102,53.85,30.77,46.15,46.15,15.38,50.0
flow,65104,52.38,63.49,41.94,42.62,43.55,79.03
flow,65106,33.33,50.0,75.0,41.67,25.0,25.0
flow,65701,35.71,21.43,69.23,71.43,76.92,76.92
flow,65901,46.88,15.62,62.5,68.75,43.75,40.62
flow,66204,62.5,27.66,40.43,36.17,25.53,29.79
flow,66213,60.0,36.0,45.83,50.0,50.0,45.83
flow,66403,11.11,100.0,87.5,37.5,50.0,100.0
flow,66407,22.92,12.5,10.42,27.08,16.67,16.67
flow,66415,40.0,46.67,40.0,60.0,78.57,100.0
flow,66417,78.79,57.58,66.67,66.67,67.65,73.53
flow,66425,40.74,37.04,46.15,65.38,80.0,0.0
flow,66435,78.57,84.09,100.0,79.55,79.55,88.64
flow,66442,50.0,50.0,75.0,75.0,50.0,100.0
flow,66602,62.86,44.44,42.86,51.43,54.29,54.29
flow,66612,55.17,75.86,51.72,62.07,62.07,58.62
flow,67001,77.27,81.82,72.73,80.95,80.95,90.48
flow,67402,33.33,25.0,62.5,50.0,87.5,100.0
flow,67408,73.33,60.0,76.67,76.67,76.67,89.66
flow,67602,53.33,50.0,60.0,68.97,83.33,96.55
flow,67702,67.65,47.06,70.59,70.59,84.38,72.73
flow,67805,56.52,43.48,47.83,43.48,56.52,59.09
flow,68001,62.5,32.73,76.36,43.64,61.82,45.45
flow,68002,75.0,58.33,83.33,66.67,61.11,88.89
flow,68320,69.7,69.7,90.91,69.7,75.0,78.79
flow,68322,46.15,53.85,46.15,46.15,38.46,84.62
flow,68526,55.0,82.5,65.85,37.5,52.5,97.44
flow,68806,86.79,73.58,52.83,28.3,30.19,61.54
flow,68810,94.59,94.74,55.26,37.84,30.56,69.44
flow,68819,86.67,71.43,71.43,42.86,64.29,57.14
flow,68822,66.67,53.33,78.57,66.67,73.33,6.67
flow,69001,68.75,62.5,53.33,40.0,66.67,80.0
flow,69101,61.54,23.08,69.23,69.23,69.23,75.0
flow,69201,43.75,43.75,31.25,50.0,43.75,53.33
flow,69202,46.67,40.0,40.0,33.33,40.0,80.0
flow,69302,57.69,78.85,55.77,39.62,33.96,86.79
flow,69505,78.38,37.84,67.57,39.47,44.74,44.74
flow,69602,69.23,28.57,75.0,62.07,55.17,46.43
flow,69614,16.07,54.39,77.19,47.37,25.0,48.21
flow,69618,57.14,41.07,76.36,43.64,38.18,29.09
flow,69635,57.89,15.79,76.32,39.47,50.0,31.58
flow,70105,62.16,15.79,84.21,48.65,61.11,48.65
flow,70303,52.63,21.05,83.33,55.56,77.78,44.44
flow,70902,54.05,21.62,78.38,43.24,78.38,62.16
flow,70908,38.1,28.57,80.95,57.14,42.86,40.0
flow,71106,55.1,22.92,62.0,28.0,86.0,73.47
flow,71116,89.09,89.09,49.09,7.14,51.79,100.0
flow,71117,85.71,80.95,57.14,19.05,68.18,95.24
flow,71130,82.35,94.12,58.82,47.06,52.94,82.35
flow,71136,63.64,52.17,21.74,13.04,26.09,45.45
flow,71156,31.25,0.0,56.25,46.67,80.0,60.0
flow,71178,37.5,11.76,55.56,33.33,88.24,76.47
flow,71195,15.79,15.79,47.37,52.63,11.11,0.0
precip,217810,40.0,100.0,75.0,65.52,41.38,89.29
precip,218810,12.5,82.93,56.1,65.85,48.78,90.24
precip,219510,6.35,83.08,50.77,46.15,46.15,95.38
precip,219910,21.43,75.44,61.4,66.07,55.36,82.76
precip,222610,8.57,82.86,62.86,68.57,45.71,73.53
precip,226510,20.0,80.0,48.39,64.52,54.84,60.0
precip,227810,38.71,58.06,29.03,61.29,46.67,45.16
precip,231910,67.65,9.09,12.12,72.73,79.41,23.53
precip,232710,72.97,72.97,21.62,43.24,94.59,16.22
precip,233510,16.0,72.0,25.0,45.83,75.0,8.33
