mtype,site,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01
flow,63001,29.41,38.89,22.22,47.06,94.12,100.0
flow,63101,57.69,50.0,40.74,25.93,25.0,28.57
flow,64304,25.0,66.67,36.36,63.64,83.33,58.33
flow,64602,1.92,80.77,62.26,37.04,27.78,33.96
flow,65102,0.0,85.71,50.0,86.67,66.67,53.33
flow,65104,0.0,87.3,70.31,37.5,35.38,36.92
flow,65106,0.0,58.33,15.38,100.0,71.43,100.0
flow,65701,7.69,57.14,7.14,71.43,64.29,66.67
flow,65901,6.06,51.52,40.62,78.12,71.88,87.5
flow,66204,6.25,43.75,31.25,60.42,62.5,77.08
flow,66213,4.0,60.0,52.0,80.0,80.0,84.0
flow,66403,62.5,100.0,75.0,37.5,25.0,37.5
flow,66415,0.0,31.25,0.0,18.75,13.33,26.67
flow,66417,18.18,24.24,0.0,48.57,31.43,42.86
flow,66425,42.86,53.57,11.11,57.14,96.43,100.0
flow,66435,43.75,56.52,30.43,21.74,19.57,25.0
flow,66442,0.0,75.0,100.0,0.0,20.0,80.0
flow,66602,22.22,30.56,19.44,11.11,16.67,22.86
flow,66612,26.67,36.67,23.33,26.67,20.0,30.0
flow,67001,13.04,4.35,0.0,4.55,36.36,45.45
flow,67402,0.0,0.0,5.56,5.26,5.26,0.0
flow,67408,12.9,0.0,0.0,3.23,3.12,43.75
flow,67602,9.38,3.23,3.12,3.12,9.09,30.3
flow,67702,14.29,5.71,3.03,14.29,28.57,40.0
flow,67805,16.67,20.83,4.17,4.35,24.0,24.0
flow,68001,7.02,46.43,25.0,55.36,67.86,89.29
flow,68002,24.32,18.92,8.11,8.11,16.22,13.51
flow,68320,9.09,9.09,3.12,15.15,27.27,51.52
flow,68322,7.14,7.69,0.0,7.69,21.43,21.43
flow,68526,11.9,60.98,58.54,70.73,12.2,48.78
flow,68806,16.67,38.89,33.33,20.37,7.55,15.09
flow,68810,12.82,46.15,31.58,18.42,28.95,52.63
flow,68819,18.75,43.75,25.0,37.5,47.06,58.82
flow,68822,13.33,62.5,18.75,68.75,56.25,81.25
flow,69001,8.82,6.25,9.38,9.38,12.5,23.53
flow,69101,0.0,92.31,38.46,46.15,42.86,71.43
flow,69201,5.88,5.88,5.88,5.88,17.65,33.33
flow,69202,5.88,5.88,5.88,5.88,5.88,0.0
flow,69302,20.75,72.22,66.67,50.94,5.66,30.19
flow,69505,2.63,41.03,10.26,38.46,33.33,58.97
flow,69602,6.9,26.67,10.0,40.0,46.67,82.76
flow,69614,18.97,0.0,26.32,31.58,24.56,49.12
flow,69618,0.0,43.86,35.09,35.09,26.32,64.29
flow,69635,2.56,46.15,23.08,47.37,25.64,84.62
flow,70105,10.26,23.68,10.81,60.53,47.37,89.47
flow,70303,10.0,40.0,15.0,35.0,40.0,85.0
flow,70902,5.26,28.21,15.38,48.72,53.85,97.37
flow,70908,0.0,18.18,13.64,18.18,27.27,80.95
flow,71106,23.53,17.65,11.76,19.61,21.57,98.04
flow,71116,28.57,94.74,84.21,54.39,12.28,49.12
flow,71117,13.64,90.91,82.61,43.48,0.0,54.55
flow,71130,11.11,55.56,77.78,72.22,66.67,82.35
flow,71136,8.33,13.04,43.48,20.83,4.17,39.13
flow,71156,0.0,6.25,31.25,31.25,12.5,68.75
flow,71178,5.26,10.53,10.53,26.32,26.32,100.0
flow,71195,20.0,10.0,30.0,15.0,10.0,35.0
precip,217810,53.33,93.33,86.67,41.38,38.71,64.52
precip,218810,21.43,92.86,69.05,47.62,32.5,67.5
precip,219510,18.18,89.39,74.24,28.79,42.42,72.73
precip,219910,20.69,92.98,56.14,38.98,47.37,91.38
precip,222610,13.89,94.44,70.27,47.22,36.11,55.56
precip,226510,9.38,96.88,37.5,56.25,34.38,61.29
