mtype,site,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
flow,63001,81.25,43.75,29.41,31.25,66.67,43.75
flow,63101,72.0,76.92,50.0,38.46,68.0,64.0
flow,64304,90.91,81.82,54.55,36.36,63.64,63.64
flow,64602,34.62,32.69,51.92,78.85,42.31,39.22
flow,64610,86.27,54.9,47.06,29.41,62.75,60.78
flow,65102,57.14,64.29,53.85,30.77,46.15,46.15
flow,65104,59.68,51.61,51.61,62.9,41.94,42.62
flow,65106,75.0,41.67,33.33,41.67,66.67,36.36
flow,65701,78.57,50.0,35.71,21.43,69.23,71.43
flow,65901,62.5,40.62,46.88,15.62,61.29,67.74
flow,66204,70.83,41.67,62.5,27.66,40.43,36.17
flow,66213,64.0,40.0,60.0,36.0,45.83,50.0
flow,66403,12.5,22.22,11.11,100.0,87.5,37.5
flow,66407,39.58,20.83,22.92,12.5,10.42,27.08
flow,66415,46.67,40.0,40.0,46.67,40.0,60.0
flow,66417,63.64,43.75,78.12,56.25,62.5,53.12
flow,66425,32.0,34.62,40.74,37.04,46.15,92.31
flow,66435,95.45,69.05,78.57,84.09,100.0,79.55
flow,66442,75.0,50.0,50.0,75.0,66.67,33.33
flow,66602,63.64,64.71,57.14,30.56,14.29,41.18
flow,66612,65.52,48.28,55.17,75.86,50.0,64.29
flow,67001,77.27,45.45,77.27,81.82,77.27,90.48
flow,67402,44.12,23.53,33.33,25.0,62.5,50.0
flow,67602,60.0,26.67,53.33,50.0,60.0,68.97
flow,67702,66.67,42.42,67.65,47.06,70.59,70.59
flow,67805,73.91,65.22,56.52,43.48,47.83,43.48
flow,68001,70.91,53.57,62.5,32.73,76.36,43.64
flow,68002,61.11,58.33,75.0,58.33,83.33,66.67
flow,68320,57.58,48.48,66.67,68.75,90.62,68.75
flow,68322,66.67,50.0,46.15,53.85,38.46,50.0
flow,68526,61.54,41.03,53.85,87.18,65.0,38.46
flow,68806,66.04,50.94,81.13,71.7,47.17,23.08
flow,68810,72.97,67.57,94.59,94.74,55.26,37.84
flow,68819,80.0,60.0,86.67,71.43,71.43,42.86
flow,68822,80.0,33.33,73.33,53.33,78.57,71.43
flow,69001,50.0,50.0,68.75,62.5,53.33,40.0
flow,69101,61.54,53.85,61.54,23.08,61.54,66.67
flow,69201,53.33,26.67,40.0,40.0,33.33,53.33
flow,69202,50.0,31.25,46.67,40.0,40.0,33.33
flow,69302,69.23,65.38,50.0,72.55,45.1,9.62
flow,69505,43.24,56.76,78.38,37.84,67.57,37.84
flow,69602,35.71,29.63,69.23,28.57,75.0,62.07
flow,69614,72.73,15.56,15.56,53.33,75.56,40.91
flow,69618,47.27,34.55,57.14,41.07,76.36,43.64
flow,69635,31.58,13.16,57.89,18.42,76.32,39.47
flow,70105,13.51,18.92,62.16,15.79,78.95,48.65
flow,70303,57.89,36.84,52.63,21.05,83.33,55.56
flow,70902,45.95,27.03,54.05,21.62,78.38,43.24
flow,70908,65.0,50.0,38.1,28.57,71.43,45.0
flow,71106,32.0,20.0,53.06,22.92,60.0,26.53
flow,71116,85.71,80.0,89.09,89.09,49.09,7.14
flow,71117,100.0,80.95,85.71,80.95,55.0,15.0
flow,71130,100.0,87.5,76.47,94.12,58.82,41.18
flow,71136,54.55,59.09,63.64,52.17,17.39,9.09
flow,71156,46.67,40.0,31.25,0.0,56.25,60.0
flow,71178,41.18,43.75,37.5,11.76,52.94,35.29
flow,71195,27.78,15.79,15.79,15.79,47.37,57.89
precip,217810,96.67,100.0,40.0,100.0,75.0,65.52
precip,218810,69.23,84.62,12.5,82.93,56.1,65.85
precip,219510,61.9,84.62,6.35,83.08,50.77,45.31
precip,219910,68.42,82.14,21.43,75.44,61.4,66.07
precip,222610,54.29,86.11,8.57,82.35,61.76,67.65
precip,226510,60.0,73.33,20.0,80.0,48.39,63.33
precip,227810,64.52,56.25,38.71,58.06,29.03,60.0
precip,231910,35.29,15.62,67.65,9.09,9.38,71.88
precip,232710,91.18,28.57,72.97,72.97,19.44,41.67
precip,233510,92.0,16.0,16.0,72.0,25.0,45.83
precip,233610,89.8,14.0,66.0,79.59,16.67,38.78
precip,234511,90.24,14.63,73.81,68.29,17.95,51.22
precip,237101,84.62,23.08,38.46,76.92,57.14,46.15
precip,239101,92.86,14.29,78.57,75.0,53.57,51.85
precip,304610,75.0,83.33,22.86,96.97,94.12,43.75
precip,306610,68.97,72.41,17.24,83.33,44.83,13.79
precip,307001,96.67,83.33,16.67,93.33,50.0,40.0
precip,309810,71.88,46.88,15.62,87.5,43.75,35.48
precip,310510,64.52,83.87,19.35,80.0,51.61,46.67
precip,311810,82.35,82.86,14.71,85.71,65.71,44.12
precip,311910,60.71,57.14,36.67,90.0,43.33,40.0
precip,313710,76.92,52.94,35.85,85.45,35.85,37.74
precip,314411,75.0,65.0,5.0,95.0,45.0,47.37
precip,314412,60.0,88.0,20.0,92.0,40.0,41.67
precip,314701,83.06,40.98,27.42,93.55,37.7,39.34
precip,315010,70.0,70.0,20.0,85.0,35.0,47.37
precip,315510,87.5,43.75,6.67,87.5,40.62,56.25
precip,315910,74.19,40.62,78.12,87.5,58.06,45.16
precip,316310,96.88,59.38,15.62,96.88,37.5,32.26
precip,317210,64.29,28.57,34.48,79.31,75.86,68.97
precip,319211,70.37,18.52,33.33,77.78,81.48,74.07
precip,320010,56.78,77.97,3.39,68.97,37.93,42.11
precip,321212,67.74,70.97,28.12,93.75,65.62,38.71
precip,321310,81.4,63.64,43.18,83.72,48.84,56.1
precip,321610,84.38,65.62,56.25,68.75,65.62,46.88
precip,321710,68.97,89.66,20.0,76.67,56.67,36.67
precip,322110,83.72,58.14,39.77,93.18,11.36,34.09
precip,322211,71.88,40.62,78.12,81.25,34.38,33.33
precip,322410,80.65,46.77,64.52,83.87,31.67,40.0
precip,322411,61.9,47.62,76.19,80.95,23.81,61.9
precip,323610,33.33,57.14,90.48,85.71,25.0,80.0
precip,324611,33.8,22.54,87.14,77.14,40.58,79.71
precip,326112,48.28,13.79,60.0,83.33,55.17,41.38
precip,326512,73.91,16.67,58.33,79.17,37.5,34.78
precip,326611,80.0,11.67,53.33,83.33,60.0,79.31
precip,328711,72.41,3.45,80.0,90.0,56.67,46.67
precip,400710,84.38,81.25,46.88,84.38,65.62,46.88
precip,400910,64.29,69.64,39.29,75.0,82.76,62.07
precip,401610,57.89,26.32,40.0,85.0,75.0,60.0
precip,403601,76.47,58.82,84.85,90.91,73.53,54.55
precip,403711,71.43,50.91,78.18,69.09,80.39,49.02
precip,404810,20.0,26.67,46.67,60.0,86.67,13.33
precip,405610,54.17,70.83,44.0,83.33,56.0,64.0
precip,405711,56.25,66.67,48.0,68.0,68.0,84.0
precip,405910,53.12,59.38,34.38,59.38,81.25,34.38
precip,407810,62.5,59.38,25.0,71.88,78.12,56.25
precip,408401,60.0,76.67,26.67,76.67,55.17,27.59
precip,409310,69.57,66.67,12.5,87.5,45.83,43.48
precip,410010,87.88,45.45,36.36,82.35,76.47,41.18
precip,414110,56.25,70.31,40.62,71.88,81.25,37.5
precip,417110,38.89,50.0,26.32,78.95,84.21,68.42
precip,418010,67.74,50.0,3.12,78.12,90.62,78.12
precip,419211,81.25,26.56,40.62,73.44,71.88,58.06
