mtype,site,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
flow,63001,68.75,46.67,37.5,6.25,13.33,93.33
flow,63101,80.77,56.0,32.0,26.92,11.54,96.15
flow,64304,50.0,30.0,50.0,20.0,88.89,100.0
flow,64602,78.43,15.69,3.92,1.92,29.41,43.14
flow,64610,34.0,24.0,50.0,20.0,75.51,95.92
flow,65102,53.85,15.38,46.15,7.69,71.43,100.0
flow,65104,95.16,35.48,4.92,1.61,53.23,58.73
flow,65106,54.55,0.0,9.09,9.09,60.0,100.0
flow,65701,38.46,66.67,53.85,33.33,100.0,100.0
flow,65901,48.39,16.13,19.35,6.45,93.55,93.55
flow,66204,38.3,6.38,14.89,0.0,93.62,95.65
flow,66213,40.0,4.35,13.04,4.35,95.65,100.0
flow,66403,100.0,50.0,0.0,0.0,0.0,0.0
flow,66407,12.5,10.42,10.42,4.17,15.22,71.74
flow,66415,57.14,28.57,35.71,35.71,71.43,53.85
flow,66417,62.5,46.88,31.25,30.3,94.12,100.0
flow,66425,76.92,57.69,73.08,20.0,50.0,96.15
flow,66435,59.09,42.86,54.76,83.33,90.48,97.62
flow,66442,100.0,66.67,33.33,33.33,33.33,33.33
flow,66602,94.29,76.47,64.71,50.0,58.82,61.76
flow,66612,78.57,53.57,82.14,64.29,71.43,85.71
flow,67001,76.19,57.14,71.43,71.43,90.0,100.0
flow,67402,50.0,18.75,50.0,18.75,100.0,100.0
flow,67408,68.97,24.14,65.52,58.62,100.0,100.0
flow,67602,50.0,20.0,68.97,33.33,96.55,100.0
flow,67702,45.45,24.24,63.64,50.0,100.0,100.0
flow,67805,78.26,60.87,73.91,60.87,90.91,86.96
flow,68001,34.55,7.41,22.22,5.56,100.0,100.0
flow,68002,68.57,54.29,40.0,45.71,100.0,100.0
flow,68320,84.38,74.19,77.42,50.0,100.0,100.0
flow,68322,75.0,75.0,66.67,50.0,83.33,100.0
flow,68526,33.33,15.0,13.16,0.0,55.26,17.95
flow,68806,57.69,25.0,13.46,5.77,92.31,78.85
flow,68810,67.57,21.62,13.51,8.33,91.67,94.44
flow,68819,53.85,15.38,30.77,23.08,100.0,100.0
flow,68822,14.29,15.38,57.14,21.43,100.0,100.0
flow,69001,93.33,73.33,73.33,40.0,100.0,100.0
flow,69101,41.67,8.33,27.27,9.09,100.0,91.67
flow,69201,46.67,33.33,46.67,40.0,60.0,85.71
flow,69202,66.67,78.57,85.71,92.86,100.0,78.57
flow,69302,60.78,47.06,11.76,1.96,71.15,36.54
flow,69505,44.44,8.33,10.81,10.81,100.0,100.0
flow,69602,48.15,11.11,17.86,10.71,96.43,96.43
flow,69614,40.91,4.55,4.65,9.3,100.0,93.02
flow,69618,40.0,7.27,7.27,5.45,100.0,98.18
flow,69635,37.84,10.81,29.73,18.92,97.3,94.59
flow,70105,32.43,10.81,22.22,25.71,100.0,100.0
flow,70303,44.44,16.67,55.56,38.89,100.0,100.0
flow,70902,38.89,14.29,44.44,36.11,97.3,91.89
flow,70908,73.68,26.32,36.84,36.84,100.0,100.0
flow,71106,46.81,20.41,16.33,18.75,97.96,95.92
flow,71116,84.91,47.17,33.33,29.63,72.22,51.85
flow,71117,60.0,30.0,40.0,15.0,90.0,90.0
flow,71130,75.0,43.75,37.5,43.75,100.0,100.0
flow,71136,81.82,36.36,18.18,36.36,100.0,100.0
flow,71156,60.0,20.0,23.08,15.38,100.0,92.31
