mtype,site,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
flow,63001,68.75,47.06,47.06,29.41,23.53,5.88
flow,63101,65.38,53.85,40.74,51.85,22.22,3.7
flow,64304,54.55,72.73,54.55,36.36,45.45,27.27
flow,64602,38.46,34.62,37.74,58.49,90.57,18.87
flow,65102,46.15,46.15,15.38,50.0,71.43,64.29
flow,65104,41.94,42.62,43.55,79.03,93.65,25.4
flow,65106,75.0,41.67,25.0,25.0,76.92,38.46
flow,65701,69.23,71.43,76.92,76.92,7.69,28.57
flow,65901,62.5,65.62,40.62,37.5,18.75,6.25
flow,66204,45.83,37.5,27.08,29.17,63.83,17.02
flow,66213,48.0,52.0,52.0,32.0,62.5,25.0
flow,66403,87.5,37.5,50.0,100.0,100.0,75.0
flow,66407,10.42,27.08,16.67,16.67,12.5,25.0
flow,66415,40.0,33.33,33.33,40.0,46.67,33.33
flow,66417,66.67,66.67,67.65,77.14,31.43,20.0
flow,66425,46.15,65.38,80.0,14.81,25.0,35.71
flow,66435,100.0,79.55,79.55,88.64,75.0,76.19
flow,66442,75.0,75.0,75.0,100.0,100.0,50.0
flow,66602,42.86,51.43,54.29,54.29,68.57,48.57
flow,66612,51.72,62.07,62.07,58.62,51.72,65.52
flow,67001,77.27,81.82,81.82,90.91,86.36,72.73
flow,67402,64.71,47.06,82.35,94.12,64.71,55.88
flow,67408,76.67,76.67,80.0,96.67,67.74,53.23
flow,67602,60.0,68.97,86.67,96.55,70.0,63.33
flow,67702,67.65,67.65,81.82,70.59,55.88,50.0
flow,67805,47.83,43.48,56.52,56.52,50.0,45.83
flow,68001,76.36,43.64,61.82,45.45,60.0,29.09
flow,68002,83.33,66.67,63.89,83.33,52.78,36.11
flow,68320,90.91,69.7,75.0,78.79,51.52,42.19
flow,68322,46.15,46.15,38.46,84.62,46.15,33.33
flow,68526,65.85,37.5,52.5,97.5,90.24,9.76
flow,68806,52.83,28.3,30.19,61.54,98.11,67.92
flow,68810,55.26,37.84,30.56,69.44,100.0,81.08
flow,68819,71.43,42.86,64.29,57.14,80.0,20.0
flow,68822,78.57,66.67,80.0,53.33,31.25,13.33
flow,69001,53.33,40.0,66.67,80.0,20.0,37.5
flow,69101,69.23,69.23,69.23,75.0,69.23,23.08
flow,69201,31.25,50.0,43.75,53.33,53.33,25.0
flow,69202,40.0,33.33,40.0,80.0,40.0,6.25
flow,69302,55.77,39.62,33.96,86.79,96.23,24.53
flow,69505,67.57,39.47,44.74,47.37,86.84,57.89
flow,69602,75.0,62.07,55.17,48.28,55.17,34.48
flow,69614,77.19,47.37,26.32,47.37,89.47,71.93
flow,69618,76.36,43.64,38.18,29.09,69.09,20.0
flow,69635,76.32,39.47,50.0,34.21,31.58,7.89
flow,70105,84.21,48.65,61.11,51.35,21.62,8.11
flow,70303,83.33,55.56,77.78,44.44,22.22,16.67
flow,70902,78.38,44.74,78.95,63.16,28.95,28.95
flow,70908,80.95,57.14,42.86,40.0,55.0,50.0
flow,71106,62.0,28.0,86.0,68.0,46.0,34.69
flow,71116,49.09,7.14,51.79,100.0,98.21,39.29
flow,71117,57.14,19.05,68.18,95.24,100.0,47.62
flow,71130,52.94,41.18,52.94,82.35,94.12,94.12
flow,71136,21.74,13.04,26.09,47.83,95.65,90.91
flow,71156,56.25,46.67,80.0,60.0,28.57,14.29
flow,71178,55.56,33.33,88.24,76.47,41.18,38.89
flow,71195,47.37,52.63,11.11,0.0,22.22,16.67
precip,217810,75.0,65.52,41.38,89.29,83.33,20.0
precip,218810,56.1,65.85,48.78,90.24,92.31,15.38
precip,219510,50.77,46.15,46.15,95.38,93.85,23.08
precip,219910,61.4,66.07,55.36,82.76,100.0,7.02
precip,222610,62.86,68.57,45.71,73.53,100.0,11.43
precip,226510,48.39,64.52,54.84,60.0,100.0,0.0
precip,227810,29.03,61.29,46.67,45.16,61.29,0.0
precip,231910,12.12,72.73,79.41,23.53,51.52,18.75
precip,232710,21.62,43.24,94.59,16.22,35.14,11.43
precip,233510,28.0,48.0,76.0,12.0,44.0,0.0
precip,233610,18.37,40.0,82.0,2.0,10.2,6.0
precip,234511,18.75,52.38,76.19,4.76,7.32,9.76
precip,237101,57.14,50.0,57.14,57.14,28.57,7.69
precip,239101,53.57,53.57,82.14,53.57,35.71,3.7
precip,304610,94.12,45.45,61.76,85.29,100.0,44.12
precip,306610,44.83,13.79,51.72,89.66,100.0,6.9
precip,307001,50.0,40.0,53.33,83.87,96.77,32.26
precip,309810,43.75,37.5,34.38,35.48,100.0,0.0
precip,310510,51.61,46.67,43.33,66.67,96.67,16.67
precip,311810,65.71,45.71,42.86,94.29,100.0,2.94
precip,311910,43.33,40.0,46.67,70.0,96.55,3.45
precip,313710,37.04,38.89,41.51,56.36,76.79,10.53
precip,314411,45.0,47.37,36.84,89.47,100.0,0.0
precip,314412,40.0,41.67,58.33,92.0,100.0,0.0
precip,314701,38.71,40.32,49.19,54.84,88.71,3.17
precip,315010,35.0,47.37,52.63,89.47,100.0,5.0
precip,315510,40.62,56.25,46.88,46.88,74.19,3.23
precip,315910,59.38,46.88,64.06,40.62,65.62,6.25
precip,316310,37.5,34.38,40.62,65.62,93.75,3.12
precip,317210,75.86,68.97,35.71,32.14,78.57,28.57
precip,319211,81.48,74.07,51.85,24.07,71.43,3.7
precip,320010,37.93,42.11,35.96,83.05,100.0,1.75
precip,321212,65.62,39.06,68.75,46.88,96.88,0.0
precip,321310,48.84,57.14,41.86,35.71,76.74,2.33
precip,321610,65.62,46.88,75.0,37.5,35.48,0.0
precip,321710,56.67,36.67,36.67,93.33,100.0,0.0
precip,322110,11.36,34.09,40.91,54.55,86.05,0.0
precip,322211,34.38,33.33,66.67,30.3,45.45,3.03
precip,322410,32.26,41.94,56.25,29.03,70.97,0.0
precip,322411,23.81,61.9,57.14,42.86,0.0,0.0
precip,323610,28.57,80.95,81.82,66.67,33.33,0.0
precip,324611,40.58,80.0,85.71,61.19,47.83,7.25
precip,326112,56.67,43.33,83.33,50.0,46.67,3.33
precip,326512,37.5,37.5,62.5,66.67,62.5,8.7
precip,326611,60.0,79.31,76.67,53.33,46.67,0.0
precip,328711,56.67,46.67,80.0,83.33,80.0,26.67
precip,400710,65.62,46.88,50.0,40.62,90.62,3.12
precip,400910,82.76,62.07,55.17,48.28,60.71,17.86
precip,401610,75.0,60.0,50.0,50.0,78.95,0.0
precip,403601,73.53,55.88,67.65,47.06,82.35,5.88
precip,403711,80.39,50.0,61.11,27.78,59.26,7.41
precip,404810,86.67,13.33,53.33,57.14,42.86,6.67
precip,405610,56.0,64.0,42.0,56.0,62.5,17.39
precip,405711,,80.0,76.0,60.0,54.17,12.5
precip,405910,81.25,34.38,87.5,43.75,43.75,12.9
precip,407810,78.12,56.25,62.5,45.16,32.26,6.45
precip,408401,55.17,30.0,70.97,64.52,64.52,12.9
precip,409310,45.83,45.83,75.0,52.17,39.13,4.35
precip,410010,76.47,41.18,52.94,45.45,78.79,0.0
precip,414110,81.25,37.5,78.12,31.25,77.42,3.23
precip,417110,84.21,68.42,84.21,66.67,72.22,0.0
precip,418010,90.62,78.12,83.87,56.25,37.5,9.68
precip,419211,71.88,58.06,43.55,35.48,74.19,0.0
