mtype,site,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10
flow,63001,43.75,29.41,31.25,66.67,47.06,43.75
flow,63101,70.37,48.15,33.33,69.23,53.85,46.15
flow,64304,81.82,54.55,36.36,63.64,63.64,50.0
flow,64602,32.69,46.15,73.08,40.38,36.54,48.08
flow,64610,54.9,47.06,29.41,62.75,60.78,64.71
flow,65102,64.29,53.85,30.77,46.15,46.15,15.38
flow,65104,52.38,52.38,63.49,41.94,42.62,43.55
flow,65106,41.67,33.33,41.67,66.67,36.36,36.36
flow,65701,50.0,35.71,21.43,69.23,71.43,76.92
flow,65901,40.62,46.88,15.62,62.5,68.75,50.0
flow,66204,41.67,62.5,27.66,40.43,36.17,25.53
flow,66213,40.0,60.0,36.0,45.83,50.0,50.0
flow,66403,22.22,11.11,100.0,87.5,37.5,50.0
flow,66407,20.83,22.92,12.5,10.42,27.08,16.67
flow,66415,40.0,40.0,46.67,40.0,60.0,78.57
flow,66417,43.75,78.12,56.25,62.5,53.12,54.55
flow,66425,34.62,40.74,37.04,46.15,65.38,96.0
flow,66435,69.05,78.57,84.09,100.0,79.55,79.55
flow,66442,50.0,50.0,50.0,75.0,25.0,50.0
flow,66602,64.71,57.14,30.56,14.29,41.18,50.0
flow,66612,48.28,55.17,75.86,51.72,62.07,62.07
flow,67001,45.45,77.27,81.82,72.73,80.95,80.95
flow,67402,23.53,33.33,25.0,62.5,50.0,87.5
flow,67408,34.48,72.41,62.07,79.31,86.21,89.66
flow,67602,26.67,53.33,50.0,60.0,68.97,83.33
flow,67702,42.42,67.65,47.06,70.59,70.59,84.38
flow,67805,65.22,56.52,43.48,47.83,43.48,56.52
flow,68001,53.57,62.5,32.73,76.36,43.64,61.82
flow,68002,58.33,75.0,58.33,83.33,66.67,60.0
flow,68320,48.48,66.67,68.75,90.62,68.75,74.19
flow,68322,50.0,46.15,53.85,38.46,50.0,50.0
flow,68526,42.5,55.0,87.5,65.0,38.46,51.28
flow,68806,50.94,86.79,73.58,52.83,28.3,30.19
flow,68810,67.57,94.59,94.74,55.26,37.84,30.56
flow,68819,60.0,86.67,71.43,71.43,42.86,64.29
flow,68822,33.33,66.67,53.33,78.57,66.67,86.67
flow,69001,50.0,100.0,100.0,100.0,100.0,100.0
flow,69101,53.85,61.54,23.08,61.54,66.67,66.67
flow,69201,26.67,40.0,40.0,33.33,53.33,46.67
flow,69202,31.25,46.67,40.0,40.0,33.33,33.33
flow,69302,65.38,50.0,72.55,45.1,9.62,34.62
flow,69505,56.76,78.38,37.84,67.57,37.84,45.95
flow,69602,29.63,69.23,28.57,75.0,62.07,55.17
flow,69614,16.07,16.07,54.39,77.19,47.37,25.0
flow,69618,34.55,57.14,41.07,76.36,43.64,38.18
flow,69635,13.16,57.89,18.42,76.32,39.47,48.65
flow,70105,18.92,62.16,15.79,78.95,48.65,57.14
flow,70303,36.84,52.63,21.05,83.33,55.56,77.78
flow,70902,27.03,54.05,21.62,78.38,43.24,78.38
flow,70908,50.0,38.1,28.57,71.43,45.0,15.0
flow,71106,20.0,55.1,22.92,62.0,28.0,86.0
flow,71116,80.0,89.09,89.09,49.09,7.14,51.79
flow,71117,80.95,85.71,80.95,55.0,15.0,71.43
flow,71130,87.5,88.24,94.12,58.82,47.06,47.06
flow,71136,59.09,63.64,52.17,21.74,13.04,26.09
flow,71156,40.0,31.25,0.0,56.25,53.33,86.67
flow,71178,43.75,37.5,11.76,52.94,35.29,88.24
flow,71195,15.79,15.79,15.79,47.37,52.63,11.11
precip,217810,100.0,40.0,100.0,75.0,65.52,41.38
precip,218810,84.62,12.5,82.93,56.1,65.85,47.5
precip,219510,84.62,6.35,83.08,50.77,46.15,46.15
precip,219910,82.14,21.43,75.44,61.4,66.07,54.55
precip,222610,86.11,8.57,82.86,62.86,68.57,45.71
precip,226510,73.33,20.0,80.0,48.39,64.52,54.84
precip,227810,56.25,38.71,58.06,29.03,61.29,44.83
precip,231910,15.62,67.65,9.09,9.38,71.88,78.79
precip,232710,28.57,72.97,72.97,19.44,41.67,94.44
precip,233510,16.0,16.0,72.0,25.0,45.83,75.0
precip,233610,14.0,66.0,79.59,16.67,38.78,81.63
precip,234511,14.63,73.81,68.29,17.95,51.22,75.61
precip,237101,23.08,38.46,76.92,57.14,50.0,57.14
precip,239101,14.29,78.57,75.0,53.57,53.57,82.14
precip,304610,83.33,22.86,96.97,94.12,43.75,60.61
precip,306610,72.41,17.24,83.33,44.83,13.79,51.72
precip,307001,83.33,16.67,93.33,50.0,40.0,51.72
precip,309810,46.88,15.62,87.5,43.75,37.5,34.38
precip,310510,83.87,19.35,80.0,51.61,46.67,43.33
precip,311810,82.86,14.71,85.71,65.71,44.12,41.18
precip,311910,57.14,36.67,90.0,43.33,40.0,44.83
precip,313710,52.94,35.85,85.45,37.04,38.89,40.38
precip,314411,65.0,5.0,95.0,45.0,47.37,36.84
precip,314412,88.0,20.0,92.0,40.0,41.67,58.33
precip,314701,40.98,27.42,93.55,38.71,40.32,49.18
precip,315010,70.0,20.0,85.0,35.0,47.37,52.63
precip,315510,43.75,6.67,87.5,40.62,56.25,45.16
precip,315910,40.62,78.12,87.5,59.38,46.88,64.52
precip,316310,59.38,15.62,96.88,37.5,34.38,40.62
precip,317210,28.57,34.48,79.31,75.86,68.97,35.71
precip,319211,18.52,33.33,77.78,81.48,74.07,51.85
precip,320010,77.97,3.39,68.97,37.93,42.11,35.71
precip,321212,70.97,28.12,93.75,65.62,38.71,67.74
precip,321310,63.64,43.18,83.72,48.84,56.1,40.48
precip,321610,65.62,56.25,68.75,65.62,46.88,74.19
precip,321710,89.66,20.0,76.67,56.67,36.67,34.48
precip,322110,58.14,39.77,93.18,11.36,34.09,39.53
precip,322211,40.62,78.12,81.25,34.38,33.33,65.62
precip,322410,46.77,64.52,83.87,31.67,40.0,54.84
precip,322411,47.62,76.19,80.95,23.81,61.9,55.0
precip,323610,57.14,90.48,85.71,25.0,80.0,80.95
precip,324611,22.54,87.14,77.14,40.58,79.71,85.51
precip,326112,13.79,60.0,83.33,56.67,43.33,82.76
precip,326512,16.67,58.33,79.17,37.5,34.78,60.87
precip,326611,11.67,53.33,83.33,60.0,79.31,75.86
precip,328711,3.45,80.0,90.0,56.67,46.67,79.31
precip,400710,81.25,46.88,84.38,65.62,46.88,48.39
precip,400910,69.64,39.29,75.0,82.76,62.07,53.57
precip,401610,26.32,40.0,85.0,75.0,60.0,47.37
precip,403601,58.82,84.85,90.91,73.53,55.88,67.65
precip,403711,50.91,78.18,69.09,80.39,50.0,61.11
precip,404810,26.67,46.67,60.0,86.67,13.33,53.33
precip,405610,70.83,44.0,83.33,56.0,64.0,41.67
precip,405711,66.67,48.0,68.0,68.0,84.0,58.33
precip,405910,59.38,34.38,59.38,81.25,34.38,87.5
precip,407810,59.38,25.0,71.88,78.12,56.25,62.5
precip,408401,76.67,26.67,76.67,55.17,27.59,70.0
precip,409310,66.67,12.5,87.5,45.83,45.83,75.0
precip,410010,45.45,36.36,82.35,76.47,41.18,52.94
precip,414110,70.31,40.62,71.88,81.25,37.5,78.12
precip,417110,50.0,26.32,78.95,84.21,68.42,84.21
precip,418010,50.0,3.12,78.12,90.62,78.12,83.87
precip,419211,26.56,40.62,73.44,71.88,58.06,43.55
