mtype,site,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
flow,63001,47.06,29.41,23.53,5.88,6.25,12.5
flow,63101,40.74,51.85,22.22,3.7,0.0,0.0
flow,64304,54.55,36.36,45.45,27.27,0.0,27.27
flow,64602,37.74,58.49,88.68,18.87,13.46,13.46
flow,65102,15.38,50.0,71.43,64.29,84.62,85.71
flow,65104,43.55,79.03,93.65,25.4,52.38,30.16
flow,65106,16.67,25.0,76.92,38.46,53.85,23.08
flow,65701,78.57,78.57,7.14,30.0,13.33,7.14
flow,65901,40.62,37.5,18.75,6.25,6.25,3.12
flow,66204,27.08,31.25,64.58,16.67,8.51,14.89
flow,66213,52.0,32.0,62.5,25.0,12.0,12.0
flow,66403,50.0,100.0,100.0,75.0,100.0,100.0
flow,66407,16.67,16.67,12.5,25.0,12.5,16.67
flow,66415,40.0,46.67,53.33,40.0,33.33,33.33
flow,66417,64.71,65.71,17.14,25.71,38.24,38.24
flow,66425,80.0,14.81,25.0,35.71,92.59,0.0
flow,66435,79.55,88.64,75.0,76.19,77.27,56.82
flow,66442,75.0,100.0,100.0,75.0,50.0,40.0
flow,66602,51.43,54.29,68.57,54.29,57.14,34.29
flow,66612,65.52,58.62,48.28,65.52,37.93,0.0
flow,67001,81.82,90.91,86.36,72.73,71.43,63.64
flow,67402,82.35,94.12,64.71,55.88,38.89,23.53
flow,67408,80.0,96.67,67.74,53.23,45.16,43.33
flow,67602,86.67,96.55,70.0,60.0,66.67,46.67
flow,67702,84.85,70.59,55.88,50.0,47.06,30.3
flow,67805,56.52,56.52,50.0,54.17,45.83,31.82
flow,68001,62.5,46.43,60.71,28.57,27.27,32.73
flow,68002,63.89,83.33,52.78,38.89,33.33,32.43
flow,68320,75.0,78.79,54.55,40.91,50.0,37.88
flow,68322,38.46,84.62,46.15,38.46,38.46,16.67
flow,68526,52.5,97.5,90.24,9.76,56.1,35.0
flow,68806,32.08,62.26,100.0,67.92,54.72,60.38
flow,68810,32.43,70.27,100.0,56.76,44.74,18.92
flow,68819,64.29,57.14,81.25,25.0,12.5,40.0
flow,68822,80.0,53.33,31.25,12.5,25.0,66.67
flow,69001,66.67,80.0,20.0,37.5,21.88,31.25
flow,69101,69.23,76.92,71.43,21.43,23.08,46.15
flow,69201,43.75,53.33,46.67,18.75,12.5,18.75
flow,69202,40.0,80.0,40.0,6.25,43.75,18.75
flow,69302,33.96,86.79,96.23,30.19,71.7,47.17
flow,69505,44.74,47.37,86.84,57.89,26.32,27.03
flow,69602,55.17,48.28,55.17,37.93,31.03,24.14
flow,69614,26.32,47.37,89.47,71.93,78.57,67.86
flow,69618,39.29,30.36,69.64,10.71,8.93,16.07
flow,69635,50.0,34.21,31.58,10.53,10.53,25.64
flow,70105,58.33,43.24,21.62,10.81,21.05,29.73
flow,70902,78.95,63.16,28.95,28.95,34.21,24.32
flow,70908,42.86,42.86,57.14,38.1,38.1,42.86
flow,71106,86.0,74.0,48.0,38.0,42.86,23.53
flow,71116,51.79,100.0,98.21,39.29,55.36,46.43
flow,71117,68.18,95.24,100.0,45.45,36.36,36.36
flow,71130,52.94,82.35,94.12,100.0,94.12,93.75
flow,71136,26.09,47.83,100.0,91.3,60.87,43.48
flow,71156,80.0,60.0,33.33,20.0,25.0,20.0
flow,71178,88.89,77.78,44.44,36.84,26.32,15.79
flow,71195,15.79,5.26,26.32,31.58,15.79,10.53
precip,217810,41.38,89.29,83.33,20.0,96.67,34.48
precip,218810,48.78,90.24,92.5,17.5,70.73,24.39
precip,219510,46.15,95.38,93.85,24.24,95.38,20.31
precip,219910,55.36,82.76,100.0,8.62,72.41,54.39
precip,222610,47.22,74.29,100.0,13.89,51.35,36.11
precip,226510,54.84,60.0,100.0,0.0,33.33,66.67
precip,227810,46.67,45.16,61.29,3.12,21.88,83.87
