mtype,site,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
flow,63001,5.88,5.88,11.76,29.41,23.53,27.78
flow,63101,7.41,3.7,3.7,22.22,21.43,21.43
flow,64304,33.33,8.33,33.33,50.0,33.33,81.82
flow,64602,20.75,15.09,13.21,49.06,37.74,25.0
flow,65102,66.67,78.57,85.71,57.14,50.0,42.86
flow,65104,25.4,52.38,30.16,50.79,53.97,41.27
flow,65106,38.46,53.85,23.08,38.46,61.54,38.46
flow,65901,9.38,6.06,9.09,39.39,27.27,51.52
flow,66204,18.75,8.33,14.89,37.5,20.83,53.06
flow,66213,24.0,12.0,12.0,40.0,32.0,50.0
flow,66403,75.0,100.0,100.0,100.0,66.67,77.78
flow,66407,28.0,36.0,18.0,42.0,26.92,15.38
flow,66415,40.0,33.33,33.33,33.33,13.33,0.0
flow,66417,25.71,40.0,40.0,61.76,42.42,36.36
flow,66425,39.29,78.57,62.96,34.62,53.57,35.71
flow,66435,75.0,54.35,56.82,56.82,68.18,61.36
flow,66442,75.0,50.0,40.0,40.0,20.0,25.0
flow,66602,54.29,57.14,37.14,42.86,48.57,51.43
flow,66612,72.41,41.38,20.0,30.0,30.0,41.38
flow,67001,72.73,72.73,63.64,63.64,31.82,36.36
flow,67402,55.88,38.89,23.53,35.29,11.76,6.25
flow,67408,56.45,45.16,30.0,16.67,6.45,19.35
flow,67602,57.58,60.61,43.75,40.62,12.5,25.0
flow,67702,50.0,50.0,30.88,32.35,8.82,25.71
flow,67805,54.17,50.0,29.17,48.0,28.0,37.5
flow,68001,30.36,26.79,33.93,55.36,17.86,46.43
flow,68002,38.89,33.33,32.43,33.33,22.22,30.56
flow,68320,40.91,50.0,37.88,15.15,9.09,3.03
flow,68322,38.46,38.46,23.08,38.46,15.38,7.14
flow,68526,9.76,56.1,36.59,63.41,34.15,12.5
flow,68806,67.92,52.83,60.38,62.96,41.51,41.51
flow,68810,56.76,44.74,21.05,63.16,42.11,37.84
flow,68819,25.0,12.5,37.5,62.5,31.25,53.33
flow,68822,12.5,12.5,68.75,50.0,18.75,31.25
flow,69001,41.18,23.53,35.29,20.59,17.65,12.5
flow,69101,28.57,21.43,42.86,71.43,28.57,21.43
flow,69201,23.53,17.65,17.65,11.76,0.0,0.0
flow,69202,5.88,11.76,11.76,23.53,5.88,5.88
flow,69302,30.19,71.7,47.17,57.69,50.94,13.21
flow,69505,44.74,23.68,23.68,63.16,26.32,23.68
flow,69602,37.93,31.03,24.14,44.83,32.14,14.81
flow,69614,73.68,78.95,68.42,47.37,26.32,21.43
flow,69618,10.71,8.93,16.07,46.43,7.14,10.53
flow,69635,10.53,7.89,20.51,56.41,5.13,5.26
flow,70105,10.81,21.05,31.58,94.74,21.05,2.63
flow,70303,15.79,15.79,21.05,90.0,35.0,21.05
flow,70902,28.95,34.21,26.32,63.16,18.42,5.26
flow,70908,38.1,38.1,42.86,66.67,42.86,14.29
flow,71106,40.0,44.9,23.53,72.55,21.57,16.33
flow,71116,40.35,54.39,47.37,43.86,35.09,0.0
flow,71117,50.0,31.82,31.82,50.0,23.81,4.76
flow,71130,100.0,100.0,94.12,100.0,58.82,50.0
flow,71136,91.3,60.87,47.83,43.48,30.43,8.7
flow,71156,20.0,12.5,0.0,6.25,6.25,0.0
flow,71178,36.84,31.58,10.53,36.84,16.67,5.56
flow,71195,36.84,21.05,15.79,10.53,10.0,25.0
precip,217810,22.58,96.77,33.33,64.52,48.39,48.39
precip,218810,17.5,70.73,26.19,65.0,40.0,29.27
precip,219510,24.24,95.45,21.54,64.06,39.39,26.56
precip,219910,8.62,72.41,55.17,67.24,43.86,26.32
precip,222610,13.89,51.35,37.84,61.11,64.86,17.14
precip,226510,0.0,33.33,66.67,53.33,70.0,30.0
precip,227810,3.12,21.88,84.38,12.5,84.38,61.29
precip,231910,21.21,54.29,74.29,2.86,66.67,85.29
precip,232710,13.89,74.29,97.22,2.86,30.56,89.19
precip,233510,4.0,64.0,88.0,3.85,46.15,84.0
precip,233610,7.84,56.86,76.47,2.0,29.41,86.0
precip,234511,11.9,54.76,78.57,2.38,52.38,71.43
precip,237101,14.29,35.71,100.0,7.14,85.71,71.43
precip,239101,5.36,25.0,96.43,12.07,86.21,79.31
precip,304610,45.71,88.57,35.14,64.86,35.14,22.86
precip,306610,10.0,80.0,66.67,63.33,36.67,41.38
precip,307001,32.26,96.77,48.39,58.06,32.26,30.0
precip,309810,3.12,54.55,87.88,45.45,18.18,93.75
precip,310510,19.35,93.55,25.0,65.62,37.5,31.25
precip,311810,5.71,61.43,51.43,67.14,47.22,31.43
precip,311910,6.67,36.67,80.0,43.1,34.48,77.42
precip,313710,10.53,40.74,83.64,14.15,19.23,90.57
precip,314411,4.76,57.14,95.24,47.62,38.1,40.0
precip,314412,3.85,73.08,50.0,53.85,23.08,36.0
precip,314701,3.17,58.73,75.81,15.87,22.58,90.32
precip,315010,9.52,76.19,95.24,57.14,23.81,50.0
precip,315510,6.25,48.48,93.94,18.18,24.24,86.67
precip,315910,6.25,40.62,65.62,3.12,30.3,78.12
precip,316310,3.12,60.61,96.97,36.36,50.0,87.88
precip,317210,31.03,89.66,100.0,18.97,17.24,72.41
precip,319211,7.14,78.57,89.29,10.71,10.71,85.71
precip,320010,3.45,41.38,77.97,48.33,41.67,30.0
precip,321212,3.12,46.88,93.75,34.38,62.5,75.0
precip,321310,4.55,37.78,66.67,22.73,60.0,79.55
precip,321610,3.12,51.52,78.79,9.09,72.73,40.62
precip,321710,3.33,66.67,53.33,63.33,43.33,36.67
precip,322110,2.27,40.0,80.0,34.09,47.73,84.44
precip,322211,3.03,39.39,78.79,6.06,36.36,78.12
precip,322410,3.12,32.26,83.87,9.68,32.26,80.65
precip,322411,0.0,71.43,80.95,4.76,42.86,71.43
precip,323610,4.55,45.45,81.82,13.64,27.27,57.14
precip,324611,8.57,26.76,71.83,8.33,21.13,62.86
precip,326112,3.33,38.33,70.0,6.67,20.0,66.67
precip,326512,12.5,41.67,29.17,8.33,28.0,88.0
precip,326611,3.33,50.0,41.67,12.9,22.58,96.67
precip,328711,26.67,43.33,26.67,8.33,30.0,93.33
precip,400710,3.12,69.7,57.58,27.27,18.18,90.62
precip,400910,20.69,68.97,51.72,10.34,32.14,85.71
precip,401610,5.0,65.0,70.0,45.0,20.0,90.0
