mtype,site,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
flow,63001,29.41,23.53,27.78,52.94,25.0,41.18
flow,63101,22.22,21.43,21.43,55.56,61.54,53.85
flow,64304,50.0,33.33,50.0,66.67,36.36,72.73
flow,64602,49.06,32.08,25.0,7.69,1.92,80.77
flow,65102,57.14,50.0,42.86,21.43,7.14,78.57
flow,65104,50.0,53.12,39.06,10.94,1.56,88.71
flow,65106,38.46,61.54,38.46,0.0,41.67,8.33
flow,65701,7.14,21.43,14.29,78.57,7.69,57.14
flow,65901,39.39,27.27,51.52,36.36,6.06,51.52
flow,66204,37.5,20.83,53.06,35.42,6.25,43.75
flow,66213,42.31,30.77,50.0,33.33,4.0,60.0
flow,66403,100.0,66.67,77.78,100.0,62.5,100.0
flow,66415,33.33,13.33,0.0,0.0,0.0,0.0
flow,66417,61.76,42.42,36.36,57.58,18.18,24.24
flow,66425,34.62,53.57,46.43,67.86,46.43,55.56
flow,66435,58.7,71.74,58.7,75.0,43.75,56.52
flow,66442,40.0,20.0,25.0,25.0,0.0,75.0
flow,66602,17.14,30.56,30.56,37.84,22.22,45.71
flow,66612,50.0,43.33,50.0,80.0,23.33,53.33
flow,67001,63.64,31.82,34.78,65.22,13.64,13.64
flow,67402,35.29,11.76,6.25,29.41,0.0,0.0
flow,67408,19.35,9.68,16.13,67.74,9.68,0.0
flow,67602,40.62,12.5,25.0,56.25,9.38,3.23
flow,67702,32.35,8.82,25.71,68.57,15.71,11.43
flow,67805,48.0,24.0,40.0,48.0,16.67,20.83
flow,68001,57.14,19.3,45.61,24.56,7.02,46.43
flow,68002,35.14,24.32,32.43,37.84,22.22,16.67
flow,68320,15.15,9.09,3.03,51.52,9.09,9.09
flow,68322,38.46,15.38,21.43,28.57,7.14,7.69
flow,68526,63.41,34.15,12.5,25.0,12.2,60.0
flow,68806,62.96,42.59,42.59,40.74,20.75,39.62
flow,68810,63.16,44.74,39.47,41.03,12.82,30.77
flow,68819,62.5,31.25,56.25,40.0,13.33,40.0
flow,68822,50.0,18.75,31.25,46.67,14.29,66.67
flow,69001,20.59,17.65,12.5,11.76,8.82,6.25
flow,69101,71.43,21.43,7.14,42.86,0.0,92.31
flow,69201,11.76,5.88,5.88,17.65,0.0,0.0
flow,69202,17.65,5.88,0.0,0.0,0.0,0.0
flow,69302,58.49,47.17,9.43,30.19,20.75,64.81
flow,69505,63.16,26.32,23.68,26.32,0.0,26.32
flow,69602,44.83,32.14,18.52,17.24,3.57,24.14
flow,69614,47.37,24.56,22.81,18.97,18.97,0.0
flow,69618,44.64,7.14,10.53,17.54,0.0,43.86
flow,69635,56.41,5.13,5.26,28.95,0.0,47.37
flow,70105,94.74,23.68,10.53,41.03,10.26,23.68
flow,70303,90.0,35.0,21.05,31.58,5.26,36.84
flow,70902,63.16,18.42,5.26,31.58,5.26,28.95
flow,70908,66.67,42.86,18.18,22.73,0.0,14.29
flow,71106,72.55,21.57,18.0,70.83,22.0,16.0
flow,71116,43.86,35.09,0.0,76.79,28.57,94.74
flow,71117,50.0,23.81,4.76,47.62,9.52,95.24
flow,71130,100.0,58.82,50.0,22.22,5.88,50.0
flow,71136,39.13,34.78,13.04,20.83,8.33,13.04
flow,71156,6.25,12.5,5.88,5.88,0.0,0.0
flow,71178,36.84,16.67,5.56,29.41,0.0,5.56
flow,71195,10.53,10.0,20.0,50.0,25.0,15.0
precip,217810,65.62,50.0,50.0,48.39,53.33,93.33
precip,218810,65.0,40.0,29.27,21.43,21.43,92.68
precip,219510,64.06,39.39,26.56,33.33,18.18,89.23
precip,219910,67.24,43.86,26.32,17.24,20.69,92.86
precip,222610,61.11,64.86,17.14,14.29,11.43,94.29
precip,226510,53.33,70.0,30.0,6.67,6.45,96.77
precip,227810,12.5,84.85,62.5,15.62,15.62,96.88
precip,231910,2.86,65.15,85.71,44.12,33.33,57.58
precip,232710,2.86,30.56,89.47,18.42,21.62,86.49
precip,233510,3.85,46.15,84.62,19.23,32.0,76.0
precip,233610,2.0,29.41,86.27,38.0,28.57,64.0
precip,234511,2.38,52.38,72.09,23.81,45.0,69.05
precip,237101,7.14,85.71,64.29,42.86,6.67,80.0
precip,239101,12.07,86.21,79.31,42.86,3.57,75.0
precip,304610,64.86,35.14,25.0,44.12,35.29,96.97
precip,306610,63.33,36.67,43.33,22.58,6.9,90.0
precip,307001,58.06,32.26,32.26,51.61,25.81,90.32
precip,309810,45.45,18.18,93.94,6.06,6.06,69.7
precip,310510,65.62,37.5,31.25,35.48,34.38,96.67
precip,311810,67.14,47.22,31.43,16.67,25.0,91.43
precip,311910,43.1,34.48,77.42,6.67,16.67,76.67
precip,313710,14.15,19.23,89.81,10.71,23.64,80.0
precip,314411,47.62,38.1,42.86,19.05,5.0,75.0
