mtype,site,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
flow,63001,37.5,6.25,13.33,93.33,100.0,100.0
flow,63101,32.0,26.92,11.54,96.15,96.0,96.0
flow,64304,50.0,20.0,90.0,100.0,90.91,20.0
flow,64602,3.92,1.92,29.41,43.14,19.61,5.88
flow,64610,50.0,20.0,75.51,95.92,90.0,70.0
flow,65104,4.92,1.61,53.23,58.73,24.19,11.29
flow,65106,9.09,9.09,60.0,100.0,90.91,36.36
flow,65701,53.85,38.46,100.0,100.0,92.86,61.54
flow,65901,19.35,6.45,93.55,96.77,83.87,29.03
flow,66204,14.89,2.13,95.74,95.74,65.96,47.83
flow,66213,13.04,4.35,95.65,100.0,82.61,50.0
flow,66403,0.0,0.0,0.0,0.0,0.0,0.0
flow,66407,10.42,4.17,15.22,71.74,84.78,56.52
flow,66415,35.71,35.71,71.43,53.85,92.31,53.85
flow,66417,31.25,30.3,94.12,100.0,93.94,69.7
flow,66425,73.08,20.0,50.0,96.15,84.62,38.46
flow,66435,54.76,83.33,90.48,97.62,97.5,78.57
flow,66442,33.33,0.0,33.33,33.33,33.33,0.0
flow,66602,64.71,47.06,58.82,61.76,82.35,76.47
flow,66612,82.14,64.29,71.43,85.71,88.89,88.89
flow,67001,71.43,71.43,90.48,100.0,95.24,95.0
flow,67402,50.0,18.75,100.0,100.0,93.75,84.38
flow,67408,65.52,58.62,100.0,100.0,86.21,82.76
flow,67602,68.97,33.33,96.55,100.0,86.67,80.0
flow,67702,63.64,50.0,100.0,100.0,84.85,25.0
flow,67805,73.91,60.87,90.91,86.96,82.61,72.73
flow,68001,22.22,5.56,100.0,100.0,88.89,51.85
flow,68002,40.0,45.71,100.0,100.0,85.71,70.59
flow,68320,77.42,50.0,100.0,100.0,74.19,50.0
flow,68322,66.67,50.0,83.33,100.0,75.0,63.64
flow,68526,15.38,2.56,55.26,17.95,38.46,25.64
flow,68806,13.46,5.77,92.31,78.85,45.1,23.53
flow,68810,13.51,8.33,91.67,91.67,30.56,19.44
flow,68819,30.77,23.08,100.0,100.0,50.0,14.29
flow,68822,57.14,21.43,100.0,100.0,92.86,28.57
flow,69001,73.33,40.0,100.0,100.0,86.67,66.67
flow,69101,27.27,9.09,100.0,91.67,91.67,33.33
flow,69201,46.67,40.0,60.0,85.71,93.33,40.0
flow,69202,86.67,92.86,100.0,78.57,66.67,60.0
flow,69302,11.54,1.92,59.62,15.38,13.46,21.57
flow,69505,10.81,10.81,100.0,100.0,77.78,36.11
