mtype,site,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
flow,63001,27.78,66.67,16.67,23.53,17.65,11.76
flow,63101,25.0,32.14,25.0,17.86,17.86,13.79
flow,64304,84.62,61.54,38.46,38.46,23.08,25.0
flow,64602,27.78,35.19,40.74,31.48,25.93,30.19
flow,65102,68.75,56.25,53.33,43.75,25.0,18.75
flow,65104,35.38,36.92,51.56,42.19,37.5,68.75
flow,65701,64.29,66.67,13.33,21.43,0.0,0.0
flow,65901,69.7,72.73,54.55,33.33,9.09,9.09
flow,66204,62.5,77.08,56.25,14.89,6.25,4.17
flow,66213,80.0,76.0,61.54,19.23,3.85,3.85
flow,66415,18.75,18.75,6.25,5.88,0.0,0.0
flow,66417,31.43,42.86,37.14,22.22,20.0,24.24
flow,66425,96.55,93.1,79.31,10.71,0.0,0.0
flow,66435,19.57,25.0,17.39,8.7,4.35,4.35
flow,66442,20.0,80.0,20.0,33.33,40.0,40.0
flow,66602,16.67,25.0,25.0,27.78,52.78,10.81
flow,66612,20.0,30.0,10.34,80.0,6.67,6.67
flow,67001,17.39,30.43,8.7,16.67,58.33,8.7
flow,67402,5.26,0.0,0.0,5.26,7.89,0.0
flow,67408,0.0,28.12,7.81,3.12,0.0,6.45
flow,67602,8.82,25.0,14.71,11.76,11.76,2.94
flow,67702,28.57,40.0,26.47,17.14,17.14,8.57
flow,67805,24.0,24.0,16.0,12.0,7.69,12.0
flow,68001,68.42,87.72,0.0,0.0,0.0,0.0
flow,68002,16.22,16.22,10.81,7.89,6.58,5.26
flow,68320,27.27,51.52,50.0,38.24,10.61,9.09
flow,68322,21.43,21.43,7.69,0.0,0.0,0.0
flow,68526,14.29,50.0,40.48,71.43,42.86,56.1
flow,68810,28.95,47.37,30.77,20.51,20.51,33.33
flow,69001,12.5,23.53,23.53,20.59,20.59,17.65
flow,69101,40.0,80.0,60.0,40.0,13.33,6.67
flow,69201,17.65,33.33,11.11,5.56,5.56,0.0
flow,69202,5.88,5.56,5.56,11.11,5.56,5.56
flow,69302,0.0,3.7,5.56,37.04,38.89,48.15
flow,69505,33.33,61.54,33.33,15.38,10.26,2.56
flow,69602,50.0,83.33,56.67,40.0,26.67,10.34
flow,69614,18.97,41.38,62.07,82.76,85.96,24.56
