mtype,site,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
flow,63001,47.06,47.06,29.41,23.53,5.88,6.25
flow,63101,53.85,40.74,51.85,22.22,3.7,0.0
flow,64304,72.73,54.55,36.36,45.45,27.27,0.0
flow,64602,34.62,37.74,58.49,90.57,18.87,23.08
flow,65102,46.15,15.38,50.0,71.43,64.29,84.62
flow,65104,42.62,43.55,79.03,93.65,25.4,52.38
flow,65106,41.67,25.0,25.0,76.92,38.46,50.0
flow,65701,78.57,78.57,78.57,7.14,30.0,13.33
flow,65901,65.62,40.62,37.5,18.75,6.25,6.25
flow,66204,37.5,27.08,31.25,64.58,16.67,8.51
flow,66213,52.0,52.0,32.0,62.5,25.0,12.0
flow,66403,37.5,50.0,100.0,100.0,75.0,100.0
flow,66407,27.08,16.67,16.67,12.5,25.0,12.5
flow,66415,33.33,33.33,40.0,46.67,33.33,42.86
flow,66417,66.67,64.71,65.71,17.14,25.71,38.24
flow,66425,65.38,80.0,14.81,25.0,35.71,100.0
flow,66435,79.55,79.55,88.64,75.0,76.19,77.27
flow,66442,75.0,75.0,100.0,100.0,50.0,33.33
flow,66602,51.43,54.29,54.29,68.57,48.57,50.0
flow,66612,62.07,62.07,58.62,51.72,65.52,39.29
flow,67001,81.82,81.82,90.91,86.36,72.73,71.43
flow,67402,47.06,82.35,94.12,64.71,55.88,41.18
flow,67408,76.67,80.0,96.67,67.74,53.23,50.0
flow,67602,68.97,86.67,96.55,70.0,63.33,73.33
flow,67702,67.65,84.85,70.59,55.88,52.94,72.73
flow,67805,43.48,56.52,56.52,50.0,45.83,43.48
flow,68001,44.64,62.5,46.43,60.71,28.57,27.27
flow,68002,66.67,63.89,83.33,52.78,38.89,30.56
flow,68320,69.7,75.0,78.79,51.52,42.19,50.0
flow,68322,46.15,38.46,84.62,46.15,38.46,38.46
flow,68526,37.5,52.5,97.5,90.24,9.76,56.1
flow,68806,28.3,30.19,61.54,98.11,66.04,62.26
flow,68810,39.47,32.43,70.27,100.0,56.76,44.74
flow,68819,42.86,64.29,57.14,80.0,20.0,20.0
flow,68822,66.67,80.0,53.33,31.25,12.5,12.5
flow,69001,40.0,66.67,80.0,20.0,37.5,21.88
flow,69101,61.54,69.23,76.92,71.43,21.43,23.08
flow,69201,50.0,43.75,53.33,33.33,12.5,12.5
flow,69202,18.75,40.0,80.0,40.0,6.25,6.25
flow,69302,39.62,33.96,86.79,96.23,24.53,65.38
flow,69505,39.47,44.74,47.37,86.84,57.89,26.32
flow,69602,62.07,55.17,48.28,55.17,34.48,28.57
flow,69614,47.37,26.32,47.37,89.47,71.93,78.57
flow,69618,43.64,38.18,29.09,69.09,20.0,12.73
flow,69635,39.47,50.0,34.21,31.58,10.53,7.89
flow,70105,48.65,58.33,43.24,21.62,10.81,21.05
flow,70902,44.74,78.95,63.16,28.95,28.95,34.21
flow,70908,57.14,42.86,40.0,55.0,33.33,35.0
flow,71106,28.0,86.0,74.0,50.0,38.0,42.86
flow,71116,7.14,51.79,100.0,98.21,39.29,55.36
flow,71117,19.05,68.18,95.24,100.0,40.91,33.33
flow,71130,41.18,52.94,82.35,94.12,100.0,94.12
flow,71136,13.04,26.09,47.83,95.65,90.91,59.09
flow,71156,53.33,73.33,53.33,33.33,26.67,20.0
flow,71178,38.89,88.89,77.78,44.44,36.84,16.67
flow,71195,52.63,11.11,0.0,22.22,16.67,11.11
precip,217810,65.52,41.38,89.29,83.33,20.0,96.67
precip,218810,65.85,48.78,90.24,92.31,15.38,70.0
precip,219510,46.15,46.15,95.38,93.85,24.24,95.38
precip,219910,66.07,55.36,82.76,100.0,7.02,71.93
precip,222610,68.57,47.22,74.29,100.0,13.89,51.35
precip,226510,64.52,54.84,60.0,100.0,0.0,33.33
precip,227810,61.29,46.67,45.16,61.29,3.12,21.88
precip,231910,72.73,79.41,23.53,51.52,18.75,52.94
precip,232710,43.24,94.59,16.22,35.14,11.43,73.53
precip,233510,48.0,76.0,12.0,44.0,0.0,62.5
precip,233610,40.0,82.0,2.0,10.2,6.0,56.0
precip,234511,52.38,76.19,4.76,7.32,9.76,53.66
precip,237101,50.0,57.14,57.14,28.57,7.69,30.77
precip,239101,53.57,82.14,53.57,35.71,3.7,22.22
precip,304610,45.45,61.76,85.29,100.0,44.12,88.24
precip,306610,16.67,53.33,90.0,100.0,6.9,79.31
precip,307001,40.0,53.33,83.87,96.77,32.26,96.67
precip,309810,37.5,34.38,37.5,100.0,3.12,54.55
precip,310510,46.67,43.33,66.67,96.67,16.67,93.33
precip,311810,45.71,42.86,94.29,100.0,5.71,61.76
precip,311910,40.0,46.67,70.0,96.55,3.45,34.48
precip,313710,38.89,41.51,56.36,76.79,10.53,39.62
precip,314411,50.0,40.0,90.0,100.0,0.0,55.0
precip,314412,42.0,60.0,92.31,100.0,0.0,72.0
precip,314701,40.32,49.19,54.84,88.71,3.17,58.06
precip,315010,50.0,55.0,90.0,100.0,5.0,75.0
precip,315510,56.25,46.88,46.88,75.0,6.25,46.88
precip,315910,46.88,64.06,40.62,65.62,6.25,38.71
precip,316310,34.38,40.62,65.62,93.75,3.12,59.38
precip,317210,68.97,37.93,34.48,75.86,31.03,89.29
precip,319211,74.07,51.85,24.07,71.43,7.14,78.57
precip,320010,42.11,35.96,83.05,100.0,3.45,41.38
precip,321212,39.06,68.75,46.88,96.88,3.12,45.16
precip,321310,57.14,41.86,35.71,76.74,2.33,36.36
precip,321610,46.88,75.0,37.5,37.5,3.12,50.0
precip,321710,36.67,36.67,93.33,100.0,0.0,65.52
precip,322110,34.09,40.91,54.55,86.05,0.0,38.64
precip,322211,33.33,66.67,30.3,45.45,3.03,37.5
precip,322410,41.94,56.25,29.69,71.88,3.12,32.26
precip,322411,61.9,57.14,42.86,0.0,0.0,71.43
precip,323610,80.95,81.82,68.18,36.36,4.55,42.86
precip,324611,80.0,85.71,61.03,48.57,7.25,25.71
precip,326112,43.33,83.33,50.0,46.67,3.33,37.93
precip,326512,37.5,62.5,66.67,62.5,12.5,41.67
precip,326611,79.31,76.67,53.33,46.67,0.0,48.28
precip,328711,46.67,80.0,83.33,80.0,26.67,43.33
precip,400710,46.88,50.0,40.62,90.62,3.12,68.75
precip,400910,62.07,55.17,48.28,62.07,20.69,67.86
precip,401610,60.0,50.0,50.0,80.0,5.0,63.16
precip,403601,55.88,67.65,48.57,82.86,7.14,57.14
precip,403711,50.0,61.11,27.78,59.26,8.04,68.42
precip,404810,13.33,53.33,60.0,46.67,12.5,62.5
precip,405610,64.0,42.0,56.0,64.0,16.67,83.33
precip,405711,80.0,76.0,60.0,56.0,16.0,92.0
precip,405910,34.38,87.5,43.75,43.75,15.62,66.67
precip,407810,56.25,62.5,46.88,34.38,9.38,66.67
precip,408401,30.0,70.97,64.52,64.52,12.9,63.33
precip,409310,45.83,75.0,54.17,41.67,8.33,54.17
precip,410010,41.18,52.94,45.45,78.79,3.03,55.88
precip,414110,37.5,78.12,29.69,78.12,6.25,24.24
precip,417110,68.42,84.21,68.42,73.68,5.26,68.42
precip,418010,78.12,83.87,56.25,37.5,12.5,71.88
precip,419211,56.25,45.31,35.94,75.0,0.0,51.61
