mtype,site,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
flow,63001,6.25,13.33,93.33,100.0,100.0,73.33
flow,63101,26.92,11.54,96.15,96.0,96.0,84.0
flow,64304,20.0,90.0,100.0,90.91,18.18,60.0
flow,64602,1.92,29.41,43.14,19.61,5.88,11.76
flow,64610,21.57,76.47,96.08,90.38,67.31,64.71
flow,65102,7.69,71.43,100.0,71.43,53.85,71.43
flow,65104,1.61,53.23,60.32,25.4,11.29,27.42
flow,65106,9.09,60.0,100.0,90.91,36.36,9.09
flow,65701,38.46,100.0,100.0,92.86,61.54,38.46
flow,65901,6.45,93.55,96.77,83.87,29.03,51.61
flow,66204,2.13,95.74,95.74,65.96,47.83,60.87
flow,66213,4.17,95.83,100.0,70.83,32.0,28.0
flow,66403,0.0,0.0,0.0,0.0,0.0,0.0
flow,66407,4.17,15.22,71.74,84.78,56.52,36.96
flow,66415,35.71,71.43,57.14,71.43,50.0,46.67
flow,66417,30.3,94.12,100.0,93.94,69.7,63.64
flow,66425,20.0,46.15,96.3,81.48,40.74,57.69
flow,66435,83.33,90.48,97.62,97.5,78.57,95.24
flow,66442,0.0,33.33,33.33,33.33,33.33,0.0
flow,66602,47.06,58.82,61.76,82.35,76.47,87.88
flow,66612,64.29,71.43,85.71,88.89,88.89,89.29
flow,67001,71.43,90.48,100.0,95.24,95.0,80.95
flow,67402,18.75,100.0,100.0,93.75,84.38,62.5
flow,67408,58.62,100.0,100.0,86.21,82.76,68.97
flow,67602,33.33,96.55,100.0,86.67,80.0,60.0
flow,67702,50.0,100.0,100.0,87.88,72.73,34.38
flow,67805,60.87,90.91,91.3,95.65,78.26,81.82
flow,68001,5.45,98.18,98.18,89.09,51.85,57.41
flow,68002,45.71,100.0,100.0,85.71,67.65,54.29
flow,68320,50.0,100.0,100.0,74.19,50.0,59.38
flow,68322,50.0,83.33,100.0,75.0,63.64,36.36
flow,68526,0.0,56.41,17.5,37.5,25.0,28.21
flow,68806,5.77,92.31,78.85,46.15,19.23,40.38
flow,68810,8.33,91.67,94.44,52.78,40.54,64.86
flow,68819,23.08,100.0,100.0,50.0,14.29,42.86
flow,68822,21.43,92.86,100.0,93.33,33.33,40.0
flow,69001,40.0,100.0,100.0,86.67,66.67,53.33
flow,69101,9.09,100.0,91.67,91.67,33.33,50.0
flow,69201,40.0,60.0,73.33,87.5,43.75,56.25
flow,69202,92.86,100.0,78.57,66.67,60.0,40.0
flow,69302,1.92,59.62,15.38,13.46,21.57,36.54
flow,69505,10.81,100.0,100.0,77.78,36.11,38.89
flow,69602,10.71,96.43,100.0,78.57,53.57,46.43
flow,69614,9.3,100.0,93.02,55.81,69.77,81.4
flow,69618,5.45,100.0,98.18,58.18,20.0,27.27
flow,69635,18.92,97.3,94.59,72.97,21.62,18.42
flow,70105,25.71,100.0,100.0,83.33,40.54,27.03
flow,70303,38.89,100.0,100.0,82.35,52.94,35.29
flow,70902,37.84,100.0,94.59,81.08,45.95,40.54
flow,70908,36.84,100.0,100.0,89.47,84.21,57.89
flow,71106,20.41,100.0,97.96,81.63,39.58,30.0
