mtype,site,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
flow,63001,100.0,75.0,81.25,43.75,29.41,31.25
flow,63101,96.0,84.0,72.0,76.92,50.0,38.46
flow,64304,27.27,45.45,90.91,81.82,50.0,30.0
flow,64602,23.08,28.85,34.62,32.69,50.0,78.43
flow,64610,67.31,64.71,86.27,54.9,47.06,29.41
flow,65102,46.15,64.29,57.14,64.29,53.85,30.77
flow,65104,11.29,27.42,59.68,51.61,51.61,62.9
flow,65106,41.67,58.33,75.0,41.67,33.33,27.27
flow,65701,64.29,71.43,78.57,35.71,30.77,15.38
flow,65901,31.25,53.12,62.5,37.5,45.16,9.68
flow,66204,48.94,61.7,70.83,41.67,62.5,27.66
flow,66213,36.0,48.0,64.0,40.0,52.0,36.0
flow,66403,0.0,0.0,12.5,22.22,11.11,100.0
flow,66407,54.17,39.58,39.58,20.83,22.92,12.5
flow,66415,50.0,46.67,42.86,35.71,35.71,42.86
flow,66417,75.76,69.7,63.64,43.75,78.12,56.25
flow,66425,40.74,57.69,32.0,34.62,40.74,37.04
flow,66435,77.27,95.45,95.45,69.05,78.57,84.09
flow,66442,33.33,25.0,75.0,50.0,50.0,50.0
flow,66602,76.47,69.7,63.64,64.71,58.82,31.43
flow,66612,57.14,55.17,65.52,48.28,55.17,75.86
flow,67001,95.0,80.95,76.19,42.86,71.43,71.43
flow,67402,79.41,58.82,44.12,23.53,33.33,25.0
flow,67408,82.76,68.97,68.97,34.48,72.41,62.07
flow,67602,80.0,60.0,56.67,20.0,53.33,50.0
flow,67702,81.82,69.7,66.67,39.39,66.67,45.45
flow,67805,78.26,81.82,73.91,65.22,56.52,43.48
flow,68001,52.73,58.18,70.91,53.57,62.5,32.73
flow,68002,68.57,61.11,61.11,58.33,75.0,60.0
flow,68320,50.0,60.61,57.58,48.48,66.67,68.75
flow,68322,66.67,50.0,66.67,50.0,46.15,38.46
flow,68526,25.0,28.21,61.54,41.03,53.85,87.18
flow,68806,17.31,40.38,66.04,50.94,76.92,67.31
flow,68810,56.76,72.97,72.97,67.57,89.19,83.78
flow,68819,20.0,60.0,80.0,53.33,92.86,53.85
flow,68822,33.33,46.67,80.0,33.33,66.67,42.86
flow,69001,62.5,53.33,53.33,53.33,66.67,60.0
flow,69101,38.46,53.85,61.54,53.85,61.54,30.77
flow,69201,43.75,56.25,53.33,26.67,40.0,40.0
flow,69202,62.5,43.75,50.0,31.25,46.67,40.0
flow,69302,19.23,28.85,69.23,65.38,50.0,72.55
flow,69505,35.14,32.43,43.24,56.76,78.38,37.84
flow,69602,53.57,50.0,35.71,29.63,69.23,28.57
flow,69614,70.45,81.82,70.45,13.64,13.64,52.27
flow,69618,20.0,27.27,47.27,34.55,57.14,41.07
flow,69635,21.62,18.42,31.58,13.16,60.53,18.42
flow,70105,40.54,27.03,16.22,18.92,62.16,13.51
flow,70303,55.56,38.89,57.89,31.58,50.0,16.67
flow,70902,45.95,40.54,45.95,27.03,51.35,19.44
flow,70908,80.0,60.0,65.0,50.0,38.1,35.0
flow,71106,39.58,32.0,32.0,20.0,56.25,23.4
flow,71116,33.93,44.64,85.71,80.0,89.09,89.09
flow,71117,19.05,66.67,100.0,80.0,85.0,80.0
flow,71130,93.75,93.75,100.0,86.67,94.12,94.12
flow,71136,31.82,40.91,54.55,59.09,63.64,54.55
flow,71156,80.0,46.67,46.67,33.33,33.33,0.0
flow,71178,66.67,61.11,41.18,43.75,37.5,11.76
flow,71195,44.44,27.78,27.78,15.79,10.53,16.67
precip,218810,22.5,78.05,69.23,84.62,10.26,82.5
precip,219510,26.15,81.25,61.9,84.62,6.35,83.08
precip,219910,36.84,87.72,68.42,82.14,21.43,75.0
precip,222610,13.89,44.44,54.29,86.11,8.57,82.35
precip,226510,56.67,25.0,60.0,73.33,20.0,79.31
precip,227810,77.42,19.35,64.52,56.25,38.71,58.06
precip,231910,97.06,47.06,35.29,15.62,66.67,6.25
precip,232710,88.24,22.86,91.18,28.57,72.97,72.97
precip,233510,95.83,50.0,92.0,16.0,12.5,75.0
precip,233610,76.0,26.0,89.8,14.0,66.0,79.59
precip,234511,85.37,19.51,90.24,14.63,73.81,68.29
precip,237101,76.92,26.92,84.62,23.08,38.46,75.0
precip,239101,77.78,5.56,92.86,14.29,78.57,74.07
precip,304610,55.88,86.11,75.0,83.33,22.86,96.88
precip,306610,24.14,89.66,68.97,72.41,17.24,82.76
precip,307001,55.0,93.33,96.67,83.33,16.67,93.1
precip,309810,28.12,40.62,71.88,46.88,15.62,87.1
precip,310510,40.0,83.87,64.52,83.87,19.35,79.31
precip,311810,19.12,67.65,82.35,82.86,14.71,85.71
precip,311910,72.41,79.31,60.71,57.14,36.67,89.66
precip,313710,81.13,16.67,76.92,52.94,35.85,85.45
precip,314411,75.0,60.0,75.0,65.0,5.0,94.74
precip,314412,36.0,88.0,60.0,88.0,20.0,91.67
precip,314701,75.81,31.15,83.06,40.98,27.42,93.55
precip,315010,45.0,80.0,70.0,70.0,20.0,84.21
precip,315510,59.38,21.88,87.5,43.75,6.67,87.5
precip,315910,74.19,19.35,74.19,40.62,78.12,87.5
precip,316310,71.88,43.75,96.88,59.38,15.62,96.88
precip,317210,60.71,28.57,64.29,28.57,34.48,79.31
precip,319211,70.37,22.22,70.37,18.52,33.33,76.92
precip,320010,52.63,87.93,56.78,77.97,3.39,68.42
precip,321212,58.06,35.48,67.74,70.97,28.12,93.55
precip,321310,70.45,47.73,81.4,63.64,43.18,83.33
precip,321610,40.62,9.38,84.38,65.62,56.25,70.97
precip,321710,37.93,62.07,68.97,89.66,20.0,75.86
precip,322110,68.18,34.09,83.72,58.14,39.77,93.02
precip,322211,31.25,15.62,71.88,38.71,77.42,80.65
precip,322410,25.81,12.9,80.65,46.67,63.33,83.33
precip,322411,66.67,30.95,61.9,45.0,75.0,80.0
precip,323610,23.81,33.33,33.33,57.14,90.48,85.71
precip,324611,2.86,37.14,33.8,22.54,87.14,76.81
precip,326112,41.38,25.86,48.28,13.79,60.0,83.33
precip,326512,45.65,15.22,73.91,16.67,58.33,82.61
precip,326611,55.17,20.69,80.0,11.67,53.33,83.33
precip,328711,27.59,31.03,72.41,3.45,80.0,90.0
precip,400710,35.94,34.38,84.38,81.25,46.88,84.38
precip,400910,10.71,21.43,64.29,69.64,39.29,75.0
precip,401610,21.05,42.11,57.89,26.32,40.0,85.0
precip,403601,23.53,35.29,76.47,58.82,84.85,90.62
precip,403711,5.36,23.21,71.43,50.91,78.18,68.52
precip,404810,33.33,6.67,20.0,26.67,46.67,60.0
precip,405610,54.17,54.17,54.17,70.83,44.0,83.33
precip,405711,27.08,66.67,56.25,66.67,48.0,68.0
precip,405910,46.88,12.5,53.12,59.38,34.38,59.38
precip,407810,12.5,43.75,62.5,59.38,25.0,71.88
precip,408401,22.41,70.0,60.0,76.67,26.67,76.67
precip,409310,43.48,56.52,69.57,66.67,12.5,86.96
precip,410010,39.39,27.27,87.88,45.45,34.38,81.82
precip,414110,37.5,12.5,56.25,70.31,40.62,71.88
precip,417110,16.67,44.44,38.89,50.0,26.32,78.95
precip,418010,45.16,48.44,67.74,50.0,3.12,78.12
precip,419211,74.19,34.38,81.25,26.56,40.62,74.19
