mtype,site,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
flow,63001,23.53,27.78,52.94,25.0,41.18,41.18
flow,63101,21.43,21.43,55.56,61.54,53.85,51.85
flow,64304,33.33,50.0,75.0,25.0,66.67,36.36
flow,64602,32.08,25.0,7.69,1.92,80.77,62.26
flow,65102,50.0,42.86,21.43,7.14,78.57,28.57
flow,65104,53.12,39.06,10.94,1.56,88.71,69.84
flow,65106,61.54,38.46,0.0,41.67,8.33,100.0
flow,65701,21.43,14.29,78.57,7.69,57.14,7.14
flow,65901,27.27,51.52,36.36,6.06,51.52,40.62
flow,66204,20.83,53.06,35.42,6.25,43.75,31.25
flow,66213,30.77,50.0,33.33,4.0,60.0,52.0
flow,66403,66.67,77.78,100.0,62.5,100.0,75.0
flow,66415,12.5,0.0,0.0,0.0,31.25,0.0
flow,66417,42.42,36.36,57.58,18.18,24.24,0.0
flow,66425,53.57,46.43,67.86,42.86,53.57,11.11
flow,66435,71.74,58.7,75.0,43.75,56.52,30.43
flow,66442,20.0,25.0,25.0,0.0,75.0,100.0
flow,66602,30.56,30.56,40.54,25.0,33.33,19.44
flow,66612,43.33,50.0,80.0,23.33,33.33,20.69
flow,67001,31.82,34.78,60.87,13.04,4.35,0.0
flow,67402,11.76,6.25,29.41,0.0,0.0,5.56
flow,67408,9.68,16.13,67.74,12.9,0.0,0.0
flow,67602,12.5,25.0,56.25,9.38,3.23,3.12
flow,67702,8.82,40.0,68.57,14.29,5.71,3.03
flow,67805,24.0,40.0,48.0,16.67,20.83,4.17
flow,68001,19.3,45.61,24.56,7.02,46.43,25.0
flow,68002,24.32,29.73,40.54,24.32,18.92,8.11
flow,68320,9.09,3.03,51.52,9.09,9.09,3.12
flow,68322,15.38,21.43,28.57,7.14,7.69,7.69
flow,68526,34.15,12.5,25.0,12.2,60.0,57.5
flow,68806,42.59,42.59,40.74,20.75,39.62,33.96
flow,68810,44.74,39.47,41.03,12.82,46.15,31.58
flow,68819,31.25,56.25,40.0,13.33,40.0,20.0
flow,68822,18.75,56.25,43.75,13.33,68.75,13.33
flow,69001,17.65,12.5,11.76,8.82,6.25,9.38
flow,69101,21.43,7.14,42.86,0.0,92.31,38.46
flow,69201,5.88,5.88,17.65,5.88,5.88,0.0
flow,69202,5.88,0.0,5.88,5.88,5.88,5.88
flow,69302,47.17,9.43,30.19,20.75,64.81,60.38
flow,69505,26.32,23.68,28.95,2.63,41.03,10.53
flow,69602,32.14,18.52,17.24,3.57,24.14,10.34
flow,69614,24.56,22.81,18.97,18.97,0.0,26.32
flow,69618,7.14,10.53,17.54,0.0,43.86,35.09
flow,69635,7.69,7.69,30.77,2.56,46.15,23.08
flow,70105,23.68,10.53,41.03,10.26,23.68,10.81
flow,70303,35.0,21.05,31.58,5.0,35.0,10.53
flow,70902,18.42,5.26,31.58,5.26,26.32,13.16
flow,70908,42.86,18.18,22.73,0.0,14.29,14.29
flow,71106,21.57,18.0,67.35,23.53,15.69,8.0
flow,71116,35.09,0.0,76.79,28.57,94.74,84.21
flow,71117,23.81,4.76,47.62,9.52,95.24,90.91
flow,71130,58.82,50.0,22.22,5.88,50.0,72.22
flow,71156,12.5,5.88,5.88,0.0,0.0,13.33
flow,71178,16.67,5.56,33.33,5.26,10.53,10.53
flow,71195,5.0,25.0,35.0,20.0,10.0,30.0
precip,217810,50.0,50.0,48.39,53.33,93.33,86.67
precip,218810,40.0,29.27,21.43,21.43,92.68,68.29
precip,219510,39.39,26.56,33.33,18.18,89.39,74.24
precip,219910,43.86,26.32,17.24,20.69,92.86,55.36
precip,222610,64.86,17.14,14.29,11.43,94.29,69.44
precip,226510,70.0,30.0,6.67,6.45,96.77,35.48
precip,227810,84.85,62.5,15.62,15.62,96.88,20.0
precip,231910,65.15,85.71,44.12,33.33,57.58,35.29
precip,232710,30.56,89.47,18.42,21.62,86.49,29.73
precip,233510,46.15,84.62,19.23,32.0,76.0,16.0
precip,233610,29.41,86.27,38.0,28.57,64.0,28.0
precip,234511,52.38,72.09,23.81,45.0,69.05,50.0
precip,237101,85.71,64.29,42.86,6.67,80.0,14.29
precip,239101,86.21,79.31,44.83,6.9,75.86,48.28
precip,304610,35.14,25.0,44.12,35.71,97.06,65.71
precip,306610,36.67,43.33,22.58,6.67,90.32,58.06
precip,307001,32.26,32.26,51.61,25.81,90.32,74.19
precip,309810,18.18,93.94,6.06,6.06,69.7,43.75
precip,310510,37.5,31.25,35.48,34.38,96.67,74.19
precip,311810,47.22,31.43,16.67,25.0,91.43,48.57
precip,311910,34.48,74.19,9.68,19.35,76.67,40.0
precip,313710,19.23,89.81,10.71,23.64,80.0,33.96
precip,314411,38.1,42.86,19.05,9.52,76.19,28.57
precip,314412,23.08,38.46,40.38,26.92,73.08,61.54
precip,314701,22.58,90.48,6.35,29.37,82.54,35.48
precip,315010,23.81,52.38,14.29,33.33,88.1,61.9
precip,315510,24.24,87.1,30.3,48.48,45.45,31.25
precip,315910,30.3,78.79,9.09,21.21,66.67,21.88
precip,316310,50.0,87.88,15.15,24.24,66.67,18.18
precip,317210,17.24,73.33,10.0,10.0,80.0,34.48
precip,319211,10.71,85.71,7.14,35.71,53.57,28.57
precip,320010,41.67,30.0,5.08,25.42,89.47,38.6
precip,321212,62.5,74.24,12.12,21.21,93.94,54.55
precip,321310,60.0,80.0,31.82,18.6,83.33,32.56
precip,321610,72.73,42.42,30.3,15.15,75.76,48.48
precip,321710,43.33,38.71,19.35,9.68,83.33,50.0
precip,322110,47.73,82.22,15.56,11.11,77.27,25.0
precip,322211,36.36,78.79,12.12,21.21,55.88,41.18
precip,322410,34.38,81.25,34.38,16.13,58.06,28.12
precip,322411,45.45,72.73,31.82,9.09,81.82,31.82
precip,323610,27.27,59.09,63.64,4.55,86.36,22.73
precip,324611,22.22,63.38,49.3,5.71,61.97,32.86
precip,326112,20.0,64.52,35.48,6.45,58.06,23.33
precip,326512,28.0,84.0,44.0,4.0,50.0,4.17
precip,326611,22.58,96.77,51.61,9.68,33.33,16.67
precip,328711,30.0,93.55,29.03,9.68,41.94,12.9
precip,400710,18.18,90.91,6.06,18.18,60.61,39.39
precip,400910,34.48,86.21,10.34,43.33,73.33,41.38
precip,401610,20.0,90.48,9.52,52.38,100.0,30.0
precip,403601,11.43,94.12,8.82,54.29,85.71,25.71
precip,403711,12.5,71.43,34.82,34.62,83.02,35.19
precip,404810,18.75,62.5,18.75,31.25,75.0,50.0
precip,405610,20.0,84.62,10.0,7.69,84.62,36.0
precip,405711,20.0,80.77,61.54,30.77,80.77,32.0
precip,405910,21.21,36.36,19.7,39.39,69.7,40.91
precip,407810,9.09,51.52,15.15,15.15,68.18,39.39
precip,408401,12.9,41.94,37.1,38.33,64.52,53.12
precip,409310,40.0,52.0,68.0,60.0,56.0,92.0
precip,410010,14.71,94.12,8.57,45.71,71.43,31.43
