mtype,site,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
flow,63001,35.29,23.53,11.76,11.76,12.5,12.5
flow,63101,51.85,22.22,7.41,3.7,0.0,15.38
flow,64304,45.45,50.0,33.33,8.33,27.27,63.64
flow,64602,58.49,88.68,20.75,15.09,13.21,50.0
flow,65102,53.33,73.33,66.67,78.57,85.71,57.14
flow,65104,79.03,93.65,25.4,52.38,30.16,50.79
flow,65106,25.0,76.92,38.46,53.85,23.08,16.67
flow,65701,78.57,7.14,30.0,13.33,7.14,7.14
flow,65901,34.38,15.62,9.38,9.09,6.06,15.62
flow,66204,31.25,64.58,18.75,8.33,14.89,37.5
flow,66213,32.0,64.0,24.0,12.0,12.0,40.0
flow,66403,100.0,100.0,75.0,100.0,100.0,100.0
flow,66407,18.0,14.0,28.0,14.0,16.67,39.58
flow,66415,46.67,53.33,40.0,33.33,33.33,33.33
flow,66417,65.71,17.14,25.71,40.0,40.0,61.76
flow,66425,14.81,25.0,39.29,78.57,44.44,0.0
flow,66435,86.96,73.91,75.0,76.09,56.82,56.82
flow,66442,100.0,100.0,75.0,50.0,40.0,50.0
flow,66602,54.29,68.57,54.29,57.14,34.29,41.18
flow,66612,58.62,48.28,65.52,37.93,0.0,0.0
flow,67001,90.91,86.36,72.73,72.73,63.64,63.64
flow,67402,94.12,64.71,55.88,38.89,23.53,35.29
flow,67408,96.67,61.29,56.45,45.16,30.0,16.67
flow,67602,93.75,69.7,57.58,60.61,43.75,40.62
flow,67702,70.59,55.88,50.0,47.06,30.3,24.24
flow,67805,56.52,50.0,54.17,50.0,29.17,45.83
flow,68001,46.43,60.71,30.36,26.79,33.93,55.36
flow,68002,83.33,52.78,38.89,33.33,32.43,33.33
flow,68320,78.79,54.55,40.91,50.0,37.88,15.15
flow,68322,84.62,53.85,38.46,38.46,23.08,38.46
flow,68526,97.5,90.24,9.76,56.1,35.0,62.5
flow,68806,62.26,100.0,67.92,50.94,58.49,62.26
flow,68810,70.27,100.0,56.76,44.74,21.05,56.76
flow,68819,60.0,81.25,25.0,18.75,43.75,62.5
flow,68822,53.33,62.5,18.75,25.0,75.0,37.5
flow,69001,81.25,25.0,41.18,23.53,35.29,18.75
flow,69101,76.92,71.43,28.57,28.57,46.15,53.85
flow,69201,56.25,50.0,23.53,17.65,17.65,11.76
flow,69202,81.25,43.75,11.76,23.53,23.53,18.75
flow,69302,86.79,96.23,30.19,71.7,47.17,57.69
flow,69505,47.37,86.84,57.89,26.32,28.95,64.86
flow,69602,48.28,55.17,37.93,31.03,24.14,41.38
flow,69614,47.37,89.47,73.68,78.95,67.86,51.79
flow,69618,30.36,69.64,10.71,8.93,16.07,43.64
flow,69635,34.21,31.58,10.53,10.53,25.64,53.85
flow,70105,43.24,21.62,10.81,21.05,31.58,94.74
flow,70303,47.37,26.32,15.79,15.79,21.05,94.74
flow,70902,63.16,28.95,28.95,34.21,26.32,60.53
flow,70908,42.86,57.14,38.1,38.1,42.86,65.0
flow,71106,74.0,48.0,38.0,42.86,23.53,72.0
flow,71116,100.0,98.21,39.29,55.36,46.43,44.64
flow,71117,95.45,100.0,50.0,40.91,40.91,52.38
flow,71130,82.35,94.12,100.0,100.0,88.24,100.0
flow,71136,47.83,100.0,91.3,60.87,43.48,31.82
flow,71156,60.0,33.33,20.0,25.0,20.0,26.67
flow,71178,77.78,44.44,36.84,26.32,15.79,38.89
flow,71195,5.26,21.05,36.84,15.79,15.79,5.56
precip,217810,89.66,83.87,22.58,96.77,34.48,63.33
precip,218810,90.24,92.5,17.5,70.73,24.39,64.1
precip,219510,95.38,93.85,24.24,95.38,20.31,63.49
