mtype,site,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
flow,63001,23.53,5.88,5.88,11.76,23.53,18.75
flow,63101,22.22,7.41,3.7,3.7,18.52,14.81
flow,64304,50.0,33.33,8.33,27.27,63.64,36.36
flow,64602,88.68,20.75,15.09,13.21,49.06,37.74
flow,65102,73.33,66.67,78.57,85.71,57.14,50.0
flow,65104,93.65,25.4,52.38,30.16,50.79,53.97
flow,65106,76.92,38.46,53.85,23.08,46.15,33.33
flow,65701,7.14,30.0,13.33,7.14,7.14,21.43
flow,65901,15.62,9.38,9.09,6.06,15.62,12.5
flow,66204,64.58,18.75,8.33,14.89,37.5,20.83
flow,66213,64.0,24.0,12.0,12.0,40.0,32.0
flow,66403,100.0,75.0,100.0,100.0,100.0,66.67
flow,66407,14.0,28.0,36.0,16.67,39.58,24.0
flow,66415,53.33,40.0,33.33,33.33,33.33,13.33
flow,66417,17.14,25.71,40.0,40.0,61.76,42.42
flow,66425,25.0,39.29,78.57,62.96,34.62,64.29
flow,66435,73.91,75.0,54.35,56.82,56.82,68.18
flow,66442,100.0,75.0,50.0,40.0,40.0,20.0
flow,66602,68.57,54.29,57.14,37.14,42.86,48.57
flow,66612,51.72,72.41,41.38,20.0,30.0,30.0
flow,67001,86.36,72.73,72.73,63.64,63.64,31.82
flow,67402,64.71,55.88,38.89,23.53,35.29,11.76
flow,67408,61.29,56.45,45.16,30.0,16.67,13.33
flow,67602,69.7,57.58,60.61,43.75,40.62,12.5
flow,67702,55.88,50.0,47.06,30.3,24.24,9.09
flow,67805,50.0,54.17,50.0,29.17,45.83,25.0
flow,68001,60.71,30.36,26.79,33.93,55.36,17.86
flow,68002,52.78,38.89,33.33,32.43,33.33,22.22
flow,68320,54.55,40.91,50.0,37.88,15.15,9.09
flow,68526,90.24,9.76,56.1,35.0,62.5,35.0
flow,68806,100.0,67.92,52.83,60.38,62.96,41.51
flow,68810,100.0,56.76,44.74,21.05,63.16,42.11
flow,68819,81.25,25.0,12.5,37.5,62.5,31.25
flow,68822,62.5,18.75,25.0,75.0,50.0,18.75
flow,69001,25.0,41.18,23.53,35.29,20.59,17.65
flow,69101,71.43,28.57,25.0,42.86,64.29,28.57
flow,69201,50.0,23.53,17.65,17.65,11.76,0.0
flow,69202,43.75,11.76,17.65,17.65,17.65,5.88
flow,69302,96.23,30.19,71.7,47.17,57.69,50.94
flow,69505,84.21,44.74,23.68,23.68,63.16,28.95
flow,69602,55.17,37.93,31.03,24.14,41.38,29.63
flow,69614,89.47,73.68,78.95,68.42,47.37,26.32
flow,69618,69.64,10.71,8.93,16.07,44.64,5.36
flow,69635,31.58,10.53,7.89,20.51,56.41,5.13
flow,70105,21.62,10.81,21.05,31.58,94.74,21.05
flow,70303,26.32,15.79,15.79,21.05,90.0,35.0
flow,70902,28.95,28.95,34.21,26.32,63.16,18.42
flow,70908,57.14,38.1,38.1,42.86,66.67,42.86
flow,71106,48.0,40.0,44.9,23.53,72.55,21.57
flow,71116,98.21,39.29,55.36,46.43,44.64,36.36
flow,71117,100.0,50.0,40.91,40.91,54.55,23.81
flow,71130,94.12,100.0,100.0,94.12,100.0,52.94
flow,71136,95.65,86.96,60.87,47.83,43.48,21.74
flow,71156,33.33,20.0,12.5,0.0,6.25,6.25
flow,71178,44.44,36.84,26.32,10.53,47.37,11.11
flow,71195,26.32,36.84,21.05,15.79,10.53,10.0
precip,217810,83.87,22.58,96.77,33.33,64.52,48.39
precip,218810,92.5,17.5,70.73,24.39,64.1,41.03
precip,219510,93.85,24.24,95.38,20.31,63.49,38.46
precip,219910,100.0,8.62,72.41,54.39,66.67,42.86
precip,222610,100.0,13.89,51.35,37.84,61.11,64.86
precip,226510,100.0,0.0,33.33,66.67,53.33,70.0
precip,227810,61.29,3.12,21.88,84.38,12.5,84.38
precip,231910,52.94,21.21,54.29,74.29,2.86,66.67
precip,232710,36.84,13.89,74.29,97.22,2.86,30.56
precip,233510,44.0,0.0,62.5,87.5,0.0,44.0
precip,233610,12.0,7.84,56.86,76.47,2.0,29.41
precip,234511,9.52,11.9,54.76,78.57,2.38,52.38
precip,237101,28.57,7.69,30.77,100.0,0.0,84.62
precip,239101,35.71,3.7,22.22,96.3,10.71,85.71
precip,304610,100.0,45.71,88.57,35.14,63.89,33.33
precip,306610,96.67,10.0,80.0,66.67,62.07,34.48
precip,307001,96.77,32.26,96.77,48.39,58.06,32.26
precip,309810,100.0,3.12,54.55,87.88,45.45,18.18
precip,310510,96.77,19.35,93.55,22.58,64.52,35.48
precip,311810,100.0,5.71,61.76,50.0,67.65,45.71
precip,311910,96.67,6.67,36.67,79.31,42.86,32.14
precip,313710,76.79,10.53,40.74,83.64,14.15,19.23
precip,314411,100.0,4.76,57.14,95.24,45.0,35.0
precip,314412,100.0,3.85,73.08,50.0,52.0,20.0
precip,314701,88.71,3.17,58.73,75.81,15.87,22.58
precip,315010,100.0,9.52,76.19,95.24,55.0,20.0
precip,315510,75.0,6.25,48.48,93.94,18.18,24.24
precip,315910,65.62,6.25,40.62,65.62,3.12,30.3
precip,316310,93.75,3.12,60.61,96.97,36.36,50.0
precip,317210,75.86,31.03,89.66,100.0,18.97,17.24
precip,319211,71.43,7.14,78.57,89.29,10.71,10.71
precip,321212,96.88,3.12,46.88,93.75,34.38,62.5
precip,321310,76.74,4.55,37.78,66.67,22.73,60.0
precip,321610,37.5,3.12,51.52,78.79,9.09,72.73
precip,321710,100.0,3.33,66.67,51.72,62.07,41.38
precip,322110,86.36,2.27,40.0,79.55,32.56,46.51
precip,322211,45.45,3.03,39.39,78.79,6.06,36.36
precip,322410,71.88,3.12,32.26,83.87,9.68,32.26
precip,322411,4.55,0.0,71.43,80.95,4.76,42.86
precip,323610,36.36,4.55,45.45,81.82,13.64,27.27
precip,324611,48.57,8.57,26.76,71.83,8.33,21.13
precip,326112,46.67,3.33,38.33,70.0,6.67,20.0
precip,326512,62.5,12.5,41.67,29.17,8.33,28.0
precip,326611,46.67,3.33,50.0,41.67,12.9,22.58
precip,328711,80.0,26.67,43.33,26.67,8.33,30.0
precip,400710,90.62,3.12,69.7,57.58,27.27,18.18
precip,400910,62.07,20.69,68.97,51.72,10.34,32.14
precip,401610,80.0,5.0,65.0,70.0,45.0,20.0
precip,403601,82.86,7.14,57.14,71.43,30.0,11.43
precip,403711,59.26,8.04,68.42,85.96,40.35,12.5
precip,404810,46.67,12.5,62.5,93.75,34.38,18.75
precip,405610,64.0,16.67,84.0,62.0,12.0,20.0
precip,405711,52.0,16.0,24.0,100.0,20.0,20.0
