mtype,site,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
flow,63001,75.0,81.25,43.75,29.41,31.25,66.67
flow,63101,84.0,72.0,76.92,50.0,38.46,68.0
flow,64304,45.45,90.91,81.82,54.55,36.36,45.45
flow,64602,28.85,34.62,32.69,51.92,78.85,42.31
flow,64610,64.71,86.27,54.9,47.06,29.41,62.75
flow,65102,64.29,57.14,64.29,53.85,30.77,46.15
flow,65104,27.42,59.68,51.61,51.61,62.9,41.94
flow,65106,58.33,75.0,41.67,33.33,27.27,63.64
flow,65701,71.43,78.57,35.71,30.77,15.38,66.67
flow,65901,53.12,62.5,40.62,46.88,15.62,61.29
flow,66204,61.7,70.83,41.67,62.5,27.66,40.43
flow,66213,48.0,64.0,40.0,52.0,36.0,45.83
flow,66403,0.0,12.5,22.22,11.11,100.0,87.5
flow,66407,39.58,39.58,20.83,22.92,12.5,10.42
flow,66415,46.67,42.86,35.71,35.71,42.86,42.86
flow,66417,69.7,63.64,43.75,78.12,56.25,59.38
flow,66425,57.69,32.0,34.62,40.74,37.04,50.0
flow,66435,95.45,95.45,69.05,78.57,84.09,100.0
flow,66442,25.0,75.0,50.0,50.0,75.0,66.67
flow,66602,69.7,63.64,64.71,57.14,30.56,14.29
flow,66612,55.17,65.52,48.28,55.17,75.86,67.86
flow,67001,81.82,77.27,45.45,77.27,81.82,77.27
flow,67402,58.82,44.12,23.53,33.33,25.0,62.5
flow,67408,68.97,68.97,34.48,72.41,62.07,79.31
flow,67602,66.67,60.0,26.67,53.33,50.0,60.0
flow,67702,69.7,66.67,39.39,66.67,45.45,69.7
flow,67805,81.82,73.91,65.22,56.52,43.48,47.83
flow,68001,58.18,70.91,53.57,62.5,32.73,76.36
flow,68002,61.11,61.11,58.33,75.0,58.33,80.56
flow,68320,60.61,57.58,48.48,66.67,68.75,90.62
flow,68322,50.0,66.67,50.0,46.15,53.85,38.46
flow,68526,28.21,61.54,41.03,53.85,87.18,65.0
flow,68806,40.38,66.04,50.94,81.13,71.7,47.17
flow,68810,72.97,72.97,67.57,94.59,94.74,55.26
flow,68819,60.0,80.0,60.0,86.67,71.43,71.43
flow,68822,46.67,80.0,33.33,73.33,53.33,78.57
flow,69001,56.25,50.0,50.0,68.75,62.5,53.33
flow,69101,53.85,61.54,53.85,61.54,30.77,66.67
flow,69201,56.25,53.33,26.67,40.0,40.0,33.33
flow,69202,43.75,50.0,31.25,46.67,40.0,40.0
flow,69302,28.85,69.23,65.38,50.0,72.55,45.1
flow,69505,32.43,43.24,56.76,78.38,37.84,67.57
flow,69602,50.0,35.71,29.63,69.23,28.57,75.0
flow,69614,81.82,72.73,15.56,15.56,53.33,73.33
flow,69618,27.27,47.27,34.55,57.14,41.07,76.36
flow,69635,18.42,31.58,13.16,57.89,18.42,76.32
flow,70105,24.32,13.51,18.92,62.16,15.79,78.95
flow,70303,38.89,57.89,36.84,52.63,21.05,83.33
flow,70902,40.54,45.95,27.03,51.35,19.44,77.78
